,home_avrg_Home_Poss,last_3_home_avrg_Home_Poss,home_avrg_Home_PA,last_3_home_avrg_Home_PA,home_avrg_Home_ShoT,last_3_home_avrg_Home_ShoT,home_avrg_Home_Saves,last_3_home_avrg_Home_Saves,home_avrg_HomeFouls,last_3_home_avrg_HomeFouls,home_avrg_HomeCorners,last_3_home_avrg_HomeCorners,home_avrg_HomeCrosses,last_3_home_avrg_HomeCrosses,home_avrg_HomeTouches,last_3_home_avrg_HomeTouches,home_avrg_HomeTackles,last_3_home_avrg_HomeTackles,home_avrg_HomeInterceptions,last_3_home_avrg_HomeInterceptions,home_avrg_HomeAerials,last_3_home_avrg_HomeAerials,home_avrg_HomeClearances,last_3_home_avrg_HomeClearances,home_avrg_HomeOffsides,last_3_home_avrg_HomeOffsides,home_avrg_HomeGoalKicks,last_3_home_avrg_HomeGoalKicks,home_avrg_HomeThrowIns,last_3_home_avrg_HomeThrowIns,home_avrg_HomeLongBalls,last_3_home_avrg_HomeLongBalls,away_avrg_Away_Poss,last_3_away_avrg_Away_Poss,away_avrg_Away_PA,last_3_away_avrg_Away_PA,away_avrg_Away_ShoT,last_3_away_avrg_Away_ShoT,away_avrg_Away_Saves,last_3_away_avrg_Away_Saves,away_avrg_AwayFouls,last_3_away_avrg_AwayFouls,away_avrg_AwayCorners,last_3_away_avrg_AwayCorners,away_avrg_AwayCrosses,last_3_away_avrg_AwayCrosses,away_avrg_AwayTouches,last_3_away_avrg_AwayTouches,away_avrg_AwayTackles,last_3_away_avrg_AwayTackles,away_avrg_AwayInterceptions,last_3_away_avrg_AwayInterceptions,away_avrg_AwayAerials,last_3_away_avrg_AwayAerials,away_avrg_AwayClearances,last_3_away_avrg_AwayClearances,away_avrg_AwayOffsides,last_3_away_avrg_AwayOffsides,away_avrg_AwayGoalKicks,last_3_away_avrg_AwayGoalKicks,away_avrg_AwayThrowIns,last_3_away_avrg_AwayThrowIns,away_avrg_AwayLongBalls,last_3_away_avrg_AwayLongBalls,home_pnts_lst_5,away_pnts_lst_5,home_pnts_lst_3,away_pnts_lst_3,home_pnts_lst_game,away_pnts_lst_game,América (MG)_HT,Atl Goianiense_HT,Atl Paranaense_HT,Atlético Mineiro_HT,Avaí_HT,Bahia_HT,Botafogo (RJ)_HT,Bragantino_HT,CSA_HT,Ceará_HT,Chapecoense_HT,Corinthians_HT,Coritiba_HT,Cruzeiro_HT,Flamengo_HT,Fluminense_HT,Fortaleza_HT,Goiás_HT,Grêmio_HT,Internacional_HT,Palmeiras_HT,Paraná_HT,Ponte Preta_HT,Santos_HT,Sport Recife_HT,São Paulo_HT,Vasco da Gama_HT,Vitória_HT,América (MG)_AT,Atl Goianiense_AT,Atl Paranaense_AT,Atlético Mineiro_AT,Avaí_AT,Bahia_AT,Botafogo (RJ)_AT,Bragantino_AT,CSA_AT,Ceará_AT,Chapecoense_AT,Corinthians_AT,Coritiba_AT,Cruzeiro_AT,Flamengo_AT,Fluminense_AT,Fortaleza_AT,Goiás_AT,Grêmio_AT,Internacional_AT,Palmeiras_AT,Paraná_AT,Ponte Preta_AT,Santos_AT,Sport Recife_AT,São Paulo_AT,Vasco da Gama_AT,Vitória_AT,result
726,0.7739541160593794,0.5624999999999998,0.7389277389277393,0.5675675675675675,0.4276923076923077,0.33333333333333337,0.6774358974358974,0.6666666666666667,0.500854700854701,0.4821428571428571,0.48126232741617364,0.41025641025641024,0.44995864350703063,0.24778761061946902,0.592439491972202,0.48863636363636376,0.3887179487179488,0.4124999999999999,0.28438228438228447,0.2533333333333334,0.5924426450742241,0.5747126436781609,0.4348290598290597,0.4949494949494949,0.35384615384615387,0.2,0.4161735700197239,0.4871794871794872,0.6769230769230767,0.5638297872340425,0.5468227424749164,0.5157232704402516,0.7364672364672364,0.3739837398373983,0.6788766788766791,0.5128205128205128,0.4688034188034188,0.46875,0.6417948717948718,0.7266666666666667,0.5006105006105006,0.328125,0.4679487179487179,0.36111111111111105,0.6147592245153222,0.26249999999999996,0.6058355437665782,0.46952908587257614,0.6524216524216524,0.5507246376811594,0.46015246015246014,0.375,0.5988117573483428,0.34782608695652173,0.45475113122171945,0.363013698630137,0.40384615384615385,0.29411764705882354,0.3741496598639456,0.5365853658536586,0.49163879598662197,0.30864197530864196,0.443544759334233,0.5672514619883041,0.6666666666666666,0.4666666666666667,1.0,0.4444444444444444,1.0,0.3333333333333333,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
727,0.5682788051209099,0.59375,0.6400491400491402,0.689189189189189,0.491891891891892,0.6858974358974359,0.7064864864864865,0.6666666666666667,0.48468468468468473,0.6607142857142857,0.3866943866943867,0.3333333333333333,0.3626852659110723,0.37168141592920356,0.40540540540540526,0.47230113636363646,0.345945945945946,0.2625,0.2972972972972973,0.21333333333333335,0.712660028449502,0.40229885057471265,0.5191441441441441,0.2727272727272727,0.3027027027027027,0.6000000000000001,0.41995841995842,0.1282051282051282,0.6193548387096772,0.4574468085106382,0.45064629847238535,0.24528301886792447,0.45299145299145294,0.4065040650406505,0.40170940170940117,0.6025641025641026,0.40213675213675204,0.2604166666666667,0.6671794871794872,0.58,0.6483516483516484,0.5625,0.4081196581196581,0.4444444444444444,0.389618511569731,0.6499999999999999,0.3882699675803124,0.4522160664819944,0.6253561253561253,0.31884057971014496,0.49757449757449757,0.3194444444444444,0.7442151344590369,0.7681159420289856,0.6297134238310709,0.3356164383561644,0.34615384615384615,0.5294117647058822,0.4201988487702774,0.26829268292682923,0.47380156075808244,0.5679012345679011,0.5461088618983356,0.39766081871345027,0.4666666666666667,0.06666666666666667,0.5555555555555556,0.0,0.3333333333333333,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
728,0.35526315789473684,0.31640625,0.6590909090909092,0.6148648648648649,0.39,0.375,0.63,0.63,0.5666666666666668,0.6517857142857143,0.19230769230769235,0.19230769230769235,0.22580645161290325,0.2654867256637168,0.21962616822429903,0.2883522727272727,0.22000000000000003,0.26875,0.11363636363636365,0.22,0.3421052631578947,0.22413793103448276,0.8958333333333334,0.7222222222222222,0.30000000000000004,0.30000000000000004,0.3846153846153847,0.3846153846153847,0.6193548387096772,0.5106382978723403,0.6413043478260869,0.5754716981132074,0.47063492063492074,0.5934959349593495,0.3850340136054422,0.7564102564102568,0.3738095238095238,0.20833333333333331,0.6902857142857143,0.6166666666666667,0.5346938775510204,0.375,0.32619047619047614,0.41666666666666663,0.3756097560975609,0.3374999999999999,0.40433497536945817,0.592797783933518,0.6174603174603175,0.43478260869565216,0.5945945945945946,0.15277777777777776,0.6829268292682927,0.2753623188405797,0.6109243697478992,0.3287671232876712,0.32142857142857145,0.4117647058823529,0.5265306122448978,0.39024390243902435,0.4633540372670808,0.43209876543209874,0.581453634085213,0.39181286549707606,0.2,0.4666666666666667,0.3333333333333333,0.3333333333333333,1.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
729,0.7151315789473683,0.765625,0.8261363636363637,0.8648648648648654,0.5485,0.5384615384615385,0.7092499999999999,0.8,0.3466666666666667,0.5535714285714285,0.3923076923076923,0.48717948717948717,0.36451612903225805,0.3008849557522124,0.5853387850467289,0.6761363636363638,0.12799999999999995,0.1375,0.20454545454545453,0.36,0.6197368421052631,0.29885057471264365,0.47395833333333337,0.4242424242424243,0.4,0.6666666666666667,0.46153846153846156,0.4358974358974359,0.6348387096774193,0.39361702127659565,0.7032608695652174,0.4842767295597483,0.6754385964912282,0.5691056910569104,0.6791979949874682,0.7051282051282048,0.49122807017543857,0.328125,0.7521052631578948,0.6366666666666666,0.45112781954887216,0.25,0.36184210526315785,0.3055555555555555,0.34531450577663664,0.1625,0.5680580762250452,0.5865650969529085,0.5248538011695907,0.391304347826087,0.4054054054054055,0.3055555555555556,0.6739409499358153,0.536231884057971,0.5379256965944272,0.2534246575342466,0.375,0.0,0.5080558539205156,0.3170731707317073,0.45080091533180777,0.5432098765432098,0.5318559556786704,0.5321637426900585,0.8666666666666667,0.06666666666666667,0.7777777777777777,0.1111111111111111,1.0,0.3333333333333333,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
730,0.6526315789473683,0.5781250000000002,0.6590909090909092,0.6486486486486487,0.492,0.3012820512820513,0.774,0.8300000000000001,0.30666666666666664,0.25,0.45,0.3333333333333333,0.4193548387096774,0.256637168141593,0.5283878504672896,0.5774147727272727,0.37400000000000005,0.47500000000000003,0.39772727272727276,0.28,0.8605263157894738,0.44827586206896547,0.3375,0.38383838383838376,0.34,0.13333333333333333,0.3730769230769231,0.2820512820512821,0.6716129032258065,0.4468085106382978,0.6054347826086957,0.5911949685534591,0.38888888888888906,0.3414634146341463,0.4285714285714284,0.5384615384615383,0.2333333333333333,0.21875,0.685,0.685,0.33333333333333326,0.328125,0.25,0.25,0.1951219512195122,0.29374999999999996,0.39770114942528745,0.45567867036011067,0.6944444444444444,0.5434782608695652,0.21621621621621623,0.16666666666666666,0.853658536585366,0.6086956521739131,0.44117647058823534,0.3082191780821918,0.125,0.08823529411764705,0.46938775510204084,0.45121951219512196,0.26086956521739124,0.3703703703703703,0.675438596491228,0.675438596491228,0.8,0.06666666666666667,1.0,0.1111111111111111,1.0,0.3333333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
731,0.4844804318488528,0.4140624999999998,0.43473193473193517,0.47297297297297325,0.37948717948717947,0.3846153846153847,0.7451282051282051,0.9433333333333334,0.5145299145299146,0.4642857142857143,0.37672583826429984,0.3333333333333333,0.45822994210090984,0.4336283185840708,0.26821231727773776,0.3764204545454546,0.3415384615384616,0.3499999999999999,0.2773892773892774,0.36,0.8218623481781377,0.4827586206896552,0.46260683760683763,0.31313131313131315,0.20512820512820512,0.2,0.42406311637080873,0.6153846153846154,0.7523573200992553,0.5851063829787233,0.6583054626532887,0.761006289308176,0.4444444444444442,0.3902439024390242,0.7142857142857144,0.7692307692307692,0.5833333333333333,0.546875,0.705,0.705,0.5714285714285714,0.5625,0.20833333333333331,0.20833333333333331,0.1951219512195122,0.29374999999999996,0.3505747126436781,0.4130886426592798,0.16666666666666669,0.13043478260869562,0.29729729729729737,0.22916666666666666,0.6402439024390244,0.4565217391304348,0.5,0.34931506849315075,0.25,0.1764705882352941,0.46938775510204084,0.45121951219512196,0.19565217391304346,0.3148148148148148,0.3421052631578947,0.3421052631578947,0.6666666666666666,0.0,0.7777777777777777,0.0,0.3333333333333333,0.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
