,HT,Score,AT,attendance,referee,HomeGoals,AwayGoals,match_report_link,Home_Poss,Away_Poss,Home_PA,Away_PA,Home_ShoT,Away_ShoT,Home_Saves,Away_Saves,HomeFouls,HomeCorners,HomeCrosses,HomeTouches,HomeTackles,HomeInterceptions,HomeAerials,HomeClearances,HomeOffsides,HomeGoalKicks,HomeThrowIns,HomeLongBalls,AwayFouls,AwayCorners,AwayCrosses,AwayTouches,AwayTackles,AwayInterceptions,AwayAerials,AwayClearances,AwayOffsides,AwayGoalKicks,AwayThrowIns,AwayLongBalls
17,Botafogo (RJ),2–0,Ponte Preta,"9,160",Rafael Traci,2,0,"https://fbref.com/en/matches/7c66b176/Botafogo-RJ-Ponte-Preta-May-21-2017-Serie-A"">Match Report",40%,60%,82%,89%,55%,29%,100%,66%,15,1,14,611,20,11,4,17,1,9,10,58,12,6,30,834,13,11,9,8,1,4,21,47
18,Sport Recife,1–1,Cruzeiro,"3,484",Joao Batista de Arruda,1,1,"https://fbref.com/en/matches/78137407/Sport-Recife-Cruzeiro-May-21-2017-Serie-A"">Match Report",44%,56%,75%,77%,50%,29%,80%,80%,20,5,14,554,13,26,23,25,1,11,17,49,14,7,19,638,16,11,15,15,2,10,23,52
19,São Paulo,2–0,Avaí,"12,427",Caio Max Augusto Vieira,2,0,"https://fbref.com/en/matches/e09b2d7a/Sao-Paulo-Avai-May-22-2017-Serie-A"">Match Report",55%,45%,80%,73%,36%,0%,%,50%,16,5,17,647,21,17,18,28,1,15,20,58,10,6,19,562,18,18,13,10,2,7,41,47
20,Vasco da Gama,3–2,Fluminense,"20,442",Raphael Claus,3,2,"https://fbref.com/en/matches/9c66fee9/Vasco-da-Gama-Fluminense-May-27-2017-Serie-A"">Match Report",42%,58%,77%,81%,39%,50%,66%,57%,10,3,22,508,20,9,17,25,3,9,30,45,11,7,13,597,10,11,18,21,1,8,22,56
21,São Paulo,2–0,Palmeiras,"33,288",Anderson Daronco,2,0,"https://fbref.com/en/matches/c4936a41/Sao-Paulo-Palmeiras-May-27-2017-Serie-A"">Match Report",37%,63%,82%,89%,63%,10%,100%,60%,13,9,19,484,16,7,11,18,1,12,10,49,16,3,12,743,19,18,8,13,2,4,18,36
22,Vitória,0–1,Coritiba,"7,619",Vinicius Gonçalves Dias Araujo,0,1,"https://fbref.com/en/matches/a0d71933/Vitoria-Coritiba-May-27-2017-Serie-A"">Match Report",52%,48%,76%,76%,25%,50%,75%,100%,19,9,35,558,17,17,20,14,7,9,22,63,16,6,12,550,9,12,23,34,4,8,20,46
23,Atlético Mineiro,2–2,Ponte Preta,"19,553",Wagner do Nascimento Magalhaes,2,2,"https://fbref.com/en/matches/dfe23851/Atletico-Mineiro-Ponte-Preta-May-28-2017-Serie-A"">Match Report",67%,33%,87%,73%,70%,31%,60%,71%,16,6,37,754,17,13,8,11,2,8,19,54,14,6,17,472,13,12,6,43,1,4,14,56
24,Atl Paranaense,1–1,Flamengo,"19,923",Braulio da Silva Machado,1,1,"https://fbref.com/en/matches/f0f3d432/Atletico-Paranaense-Flamengo-May-28-2017-Serie-A"">Match Report",44%,56%,85%,90%,46%,29%,75%,83%,10,5,12,612,10,8,15,23,3,6,27,64,12,5,26,740,14,20,10,12,0,6,21,53
25,Atl Goianiense,0–1,Corinthians,"15,220",Paulo Henrique Schleinch Vollkopf,0,1,"https://fbref.com/en/matches/897ef128/Atletico-Goianiense-Corinthians-May-28-2017-Serie-A"">Match Report",48%,52%,81%,79%,36%,57%,87%,100%,23,5,22,598,19,11,17,17,5,5,21,56,11,9,23,635,14,11,16,18,5,10,25,61
26,Santos,0–1,Cruzeiro,"7,025",Eduardo Tomaz De Aquino Valadão,0,1,"https://fbref.com/en/matches/40f82b29/Santos-Cruzeiro-May-28-2017-Serie-A"">Match Report",54%,46%,86%,85%,8%,14%,50%,100%,8,9,24,676,18,7,11,22,1,10,12,41,14,6,18,614,25,19,17,29,0,8,16,46
27,Sport Recife,4–3,Grêmio,"3,441",Jailson Macêdo Freitas,4,3,"https://fbref.com/en/matches/67c43619/Sport-Recife-Gremio-May-28-2017-Serie-A"">Match Report",67%,33%,85%,71%,56%,50%,50%,60%,21,12,36,705,18,24,7,12,0,7,17,30,13,6,14,456,20,17,7,30,2,8,21,43
28,Botafogo (RJ),1–0,Bahia,"7,886",Rodolpho Toski Marques,1,0,"https://fbref.com/en/matches/af2fed5c/Botafogo-RJ-Bahia-May-28-2017-Serie-A"">Match Report",48%,52%,77%,80%,40%,57%,87%,75%,20,2,16,579,24,20,17,22,1,7,20,62,18,11,31,581,15,14,22,12,1,7,24,48
29,Chapecoense,2–0,Avaí,"6,188",Marcelo de Lima Henrique,2,0,"https://fbref.com/en/matches/8ff4bcd7/Chapecoense-Avai-May-29-2017-Serie-A"">Match Report",57%,43%,84%,78%,18%,27%,100%,50%,16,6,17,690,16,22,14,16,3,8,15,66,11,0,13,557,15,16,9,16,0,13,25,44
30,Coritiba,1–0,Atl Paranaense,"15,442",Raphael Claus,1,0,"https://fbref.com/en/matches/9f4a87c4/Coritiba-Atletico-Paranaense-June-3-2017-Serie-A"">Match Report",49%,51%,74%,76%,45%,22%,100%,80%,15,6,18,557,16,23,10,24,1,9,12,66,11,6,23,588,11,15,22,15,5,6,24,58
31,Fluminense,2–1,Vitória,"13,801",Ricardo Marques Ribeiro,2,1,"https://fbref.com/en/matches/01ca42ca/Fluminense-Vitoria-June-3-2017-Serie-A"">Match Report",56%,44%,78%,73%,35%,29%,50%,66%,18,5,18,636,11,21,23,18,5,10,14,68,22,2,11,528,4,24,19,18,0,10,27,72
32,Corinthians,2–0,Santos,"40,169",Anderson Daronco,2,0,"https://fbref.com/en/matches/ef696662/Corinthians-Santos-June-3-2017-Serie-A"">Match Report",50%,50%,83%,81%,22%,0%,%,50%,11,9,29,611,19,11,8,9,2,8,26,52,9,1,11,616,7,5,10,25,0,12,22,51
33,Avaí,1–0,Sport Recife,"4,646",Wagner Reway,1,0,"https://fbref.com/en/matches/c8c03fd9/Avai-Sport-Recife-June-4-2017-Serie-A"">Match Report",35%,65%,73%,87%,14%,21%,66%,0%,26,2,16,505,21,31,10,13,0,9,13,54,25,5,12,778,15,21,12,6,1,7,27,49
34,Flamengo,0–0,Botafogo (RJ),"10,577",Dewson Fernando Freitas da Silva,0,0,"https://fbref.com/en/matches/42868fb7/Flamengo-Botafogo-RJ-June-4-2017-Serie-A"">Match Report",65%,35%,84%,69%,11%,25%,100%,100%,19,11,37,613,17,14,12,11,0,4,15,33,19,2,10,427,17,10,12,30,4,11,21,47
35,Ponte Preta,1–0,São Paulo,"6,246",Rodolpho Toski Marques,1,0,"https://fbref.com/en/matches/3a5d686f/Ponte-Preta-Sao-Paulo-June-4-2017-Serie-A"">Match Report",45%,55%,79%,84%,56%,27%,100%,80%,13,7,19,531,23,11,7,24,2,10,17,58,12,7,26,626,10,19,14,11,3,7,21,63
36,Grêmio,2–0,Vasco da Gama,"22,578",Sandro Ricci,2,0,"https://fbref.com/en/matches/7939cfa1/Gremio-Vasco-da-Gama-June-4-2017-Serie-A"">Match Report",58%,42%,84%,77%,18%,0%,%,0%,15,6,16,719,24,20,13,16,3,14,19,68,13,5,21,572,19,25,18,18,1,7,24,42
