,index,Index,HT,Score,AT,referee,HomeGoals,AwayGoals,match_report_link,Home_Poss,Away_Poss,Home_PA,Away_PA,Home_ShoT,Away_ShoT,Home_Saves,Away_Saves,HomeFouls,HomeCorners,HomeCrosses,HomeTouches,HomeTackles,HomeInterceptions,HomeAerials,HomeClearances,HomeOffsides,HomeGoalKicks,HomeThrowIns,HomeLongBalls,AwayFouls,AwayCorners,AwayCrosses,AwayTouches,AwayTackles,AwayInterceptions,AwayAerials,AwayClearances,AwayOffsides,AwayGoalKicks,AwayThrowIns,AwayLongBalls,DifferenceGoals,home_win,away_win,points_result_home,points_result_away,home_avrg_Home_Poss,last_3_home_avrg_Home_Poss,home_avrg_Home_PA,last_3_home_avrg_Home_PA,home_avrg_Home_ShoT,last_3_home_avrg_Home_ShoT,home_avrg_Home_Saves,last_3_home_avrg_Home_Saves,home_avrg_HomeFouls,last_3_home_avrg_HomeFouls,home_avrg_HomeCorners,last_3_home_avrg_HomeCorners,home_avrg_HomeCrosses,last_3_home_avrg_HomeCrosses,home_avrg_HomeTouches,last_3_home_avrg_HomeTouches,home_avrg_HomeTackles,last_3_home_avrg_HomeTackles,home_avrg_HomeInterceptions,last_3_home_avrg_HomeInterceptions,home_avrg_HomeAerials,last_3_home_avrg_HomeAerials,home_avrg_HomeClearances,last_3_home_avrg_HomeClearances,home_avrg_HomeOffsides,last_3_home_avrg_HomeOffsides,home_avrg_HomeGoalKicks,last_3_home_avrg_HomeGoalKicks,home_avrg_HomeThrowIns,last_3_home_avrg_HomeThrowIns,home_avrg_HomeLongBalls,last_3_home_avrg_HomeLongBalls,away_avrg_Away_Poss,last_3_away_avrg_Away_Poss,away_avrg_Away_PA,last_3_away_avrg_Away_PA,away_avrg_Away_ShoT,last_3_away_avrg_Away_ShoT,away_avrg_Away_Saves,last_3_away_avrg_Away_Saves,away_avrg_AwayFouls,last_3_away_avrg_AwayFouls,away_avrg_AwayCorners,last_3_away_avrg_AwayCorners,away_avrg_AwayCrosses,last_3_away_avrg_AwayCrosses,away_avrg_AwayTouches,last_3_away_avrg_AwayTouches,away_avrg_AwayTackles,last_3_away_avrg_AwayTackles,away_avrg_AwayInterceptions,last_3_away_avrg_AwayInterceptions,away_avrg_AwayAerials,last_3_away_avrg_AwayAerials,away_avrg_AwayClearances,last_3_away_avrg_AwayClearances,away_avrg_AwayOffsides,last_3_away_avrg_AwayOffsides,away_avrg_AwayGoalKicks,last_3_away_avrg_AwayGoalKicks,away_avrg_AwayThrowIns,last_3_away_avrg_AwayThrowIns,away_avrg_AwayLongBalls,last_3_away_avrg_AwayLongBalls,home_pnts_lst_5,away_pnts_lst_5,home_pnts_lst_3,away_pnts_lst_3,home_pnts_lst_game,away_pnts_lst_game,result,number_of_goals,number_of_corners
10,13,13,Vasco da Gama,2–1,Bahia,Leandro Bizzio Marinho,2,1,"https://fbref.com/en/matches/2766877d/Vasco-da-Gama-Bahia-May-21-2017-Serie-A"">Match Report",0.6,0.4,0.76,0.7,0.63,0.33,0.66,0.8,13.0,10.0,28.0,615.0,33.0,16.0,17.0,8.0,3.0,11.0,27.0,57.0,23.0,5.0,17.0,503.0,24.0,15.0,17.0,24.0,3.0,5.0,32.0,47.0,1,1,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,3,15.0
11,14,14,Atlético Mineiro,1–2,Fluminense,Jean Pierre Goncalves Lima,1,2,"https://fbref.com/en/matches/68cc172b/Atletico-Mineiro-Fluminense-May-21-2017-Serie-A"">Match Report",0.6,0.4,0.81,0.73,0.16,0.33,0.6,0.66,18.0,12.0,43.0,644.0,17.0,16.0,17.0,10.0,3.0,6.0,24.0,63.0,23.0,5.0,14.0,503.0,11.0,19.0,8.0,40.0,4.0,14.0,18.0,72.0,-1,0,1,0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,3,17.0
12,15,15,Atl Paranaense,0–2,Grêmio,Marcelo Aparecido Ribeiro De Souza,0,2,"https://fbref.com/en/matches/7a136e70/Atletico-Paranaense-Gremio-May-21-2017-Serie-A"">Match Report",0.6,0.4,0.89,0.81,0.06,0.67,0.5,1.0,11.0,5.0,28.0,747.0,6.0,11.0,18.0,13.0,0.0,5.0,24.0,61.0,16.0,3.0,20.0,533.0,20.0,13.0,13.0,21.0,3.0,12.0,16.0,55.0,-2,0,1,0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,2,8.0
13,16,16,Vitória,0–1,Corinthians,Pericles Bassols Pegado Cortez,0,1,"https://fbref.com/en/matches/9e2ae8de/Vitoria-Corinthians-May-21-2017-Serie-A"">Match Report",0.47,0.53,0.84,0.86,0.23,0.33,0.75,1.0,13.0,3.0,20.0,596.0,15.0,19.0,15.0,17.0,0.0,5.0,22.0,74.0,6.0,4.0,18.0,664.0,18.0,13.0,12.0,26.0,2.0,13.0,21.0,39.0,-1,0,1,0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,7.0
14,17,17,Botafogo (RJ),2–0,Ponte Preta,Rafael Traci,2,0,"https://fbref.com/en/matches/7c66b176/Botafogo-RJ-Ponte-Preta-May-21-2017-Serie-A"">Match Report",0.4,0.6,0.82,0.89,0.55,0.29,1.0,0.66,15.0,1.0,14.0,611.0,20.0,11.0,4.0,17.0,1.0,9.0,10.0,58.0,12.0,6.0,30.0,834.0,13.0,11.0,9.0,8.0,1.0,4.0,21.0,47.0,2,1,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,7.0
15,18,18,Sport Recife,1–1,Cruzeiro,Joao Batista de Arruda,1,1,"https://fbref.com/en/matches/78137407/Sport-Recife-Cruzeiro-May-21-2017-Serie-A"">Match Report",0.44,0.56,0.75,0.77,0.5,0.29,0.8,0.8,20.0,5.0,14.0,554.0,13.0,26.0,23.0,25.0,1.0,11.0,17.0,49.0,14.0,7.0,19.0,638.0,16.0,11.0,15.0,15.0,2.0,10.0,23.0,52.0,0,0,0,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,12.0
16,20,20,Vasco da Gama,3–2,Fluminense,Raphael Claus,3,2,"https://fbref.com/en/matches/9c66fee9/Vasco-da-Gama-Fluminense-May-27-2017-Serie-A"">Match Report",0.42,0.58,0.77,0.81,0.39,0.5,0.66,0.57,10.0,3.0,22.0,508.0,20.0,9.0,17.0,25.0,3.0,9.0,30.0,45.0,11.0,7.0,13.0,597.0,10.0,11.0,18.0,21.0,1.0,8.0,22.0,56.0,1,1,0,3,0,0.6,0.6,0.76,0.76,0.63,0.63,0.66,0.66,13.0,13.0,10.0,10.0,28.0,28.0,615.0,615.0,33.0,33.0,16.0,16.0,17.0,17.0,8.0,8.0,3.0,3.0,11.0,11.0,27.0,27.0,57.0,57.0,0.4,0.4,0.73,0.73,0.33,0.33,0.66,0.66,23.0,23.0,5.0,5.0,14.0,14.0,503.0,503.0,11.0,11.0,19.0,19.0,8.0,8.0,40.0,40.0,4.0,4.0,14.0,14.0,18.0,18.0,72.0,72.0,3.0,3.0,3.0,3.0,3.0,3.0,1,5,10.0
17,21,21,São Paulo,2–0,Palmeiras,Anderson Daronco,2,0,"https://fbref.com/en/matches/c4936a41/Sao-Paulo-Palmeiras-May-27-2017-Serie-A"">Match Report",0.37,0.63,0.82,0.89,0.63,0.1,1.0,0.6,13.0,9.0,19.0,484.0,16.0,7.0,11.0,18.0,1.0,12.0,10.0,49.0,16.0,3.0,12.0,743.0,19.0,18.0,8.0,13.0,2.0,4.0,18.0,36.0,2,1,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.55,0.55,0.72,0.72,0.17,0.17,0.75,0.75,13.0,13.0,4.0,4.0,11.0,11.0,583.0,583.0,18.0,18.0,15.0,15.0,12.0,12.0,16.0,16.0,2.0,2.0,5.0,5.0,25.0,25.0,68.0,68.0,,0.0,,0.0,,0.0,1,2,12.0
18,22,22,Vitória,0–1,Coritiba,Vinicius Gonçalves Dias Araujo,0,1,"https://fbref.com/en/matches/a0d71933/Vitoria-Coritiba-May-27-2017-Serie-A"">Match Report",0.52,0.48,0.76,0.76,0.25,0.5,0.75,1.0,19.0,9.0,35.0,558.0,17.0,17.0,20.0,14.0,7.0,9.0,22.0,63.0,16.0,6.0,12.0,550.0,9.0,12.0,23.0,34.0,4.0,8.0,20.0,46.0,-1,0,1,0,3,0.47,0.47,0.84,0.84,0.23,0.23,0.75,0.75,13.0,13.0,3.0,3.0,20.0,20.0,596.0,596.0,15.0,15.0,19.0,19.0,15.0,15.0,17.0,17.0,0.0,0.0,5.0,5.0,22.0,22.0,74.0,74.0,0.53,0.53,0.8,0.8,0.48,0.48,0.66,0.66,17.0,17.0,4.0,4.0,19.0,19.0,578.0,578.0,10.0,10.0,18.0,18.0,10.0,10.0,12.0,12.0,2.0,2.0,7.0,7.0,21.0,21.0,55.0,55.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,15.0
19,23,23,Atlético Mineiro,2–2,Ponte Preta,Wagner do Nascimento Magalhaes,2,2,"https://fbref.com/en/matches/dfe23851/Atletico-Mineiro-Ponte-Preta-May-28-2017-Serie-A"">Match Report",0.67,0.33,0.87,0.73,0.7,0.31,0.6,0.71,16.0,6.0,37.0,754.0,17.0,13.0,8.0,11.0,2.0,8.0,19.0,54.0,14.0,6.0,17.0,472.0,13.0,12.0,6.0,43.0,1.0,4.0,14.0,56.0,0,0,0,1,1,0.6,0.6,0.81,0.81,0.16,0.16,0.6,0.6,18.0,18.0,12.0,12.0,43.0,43.0,644.0,644.0,17.0,17.0,16.0,16.0,17.0,17.0,10.0,10.0,3.0,3.0,6.0,6.0,24.0,24.0,63.0,63.0,0.6,0.6,0.89,0.89,0.29,0.29,0.66,0.66,12.0,12.0,6.0,6.0,30.0,30.0,834.0,834.0,13.0,13.0,11.0,11.0,9.0,9.0,8.0,8.0,1.0,1.0,4.0,4.0,21.0,21.0,47.0,47.0,0.0,0.0,0.0,0.0,0.0,0.0,2,4,12.0
20,24,24,Atl Paranaense,1–1,Flamengo,Braulio da Silva Machado,1,1,"https://fbref.com/en/matches/f0f3d432/Atletico-Paranaense-Flamengo-May-28-2017-Serie-A"">Match Report",0.44,0.56,0.85,0.9,0.46,0.29,0.75,0.83,10.0,5.0,12.0,612.0,10.0,8.0,15.0,23.0,3.0,6.0,27.0,64.0,12.0,5.0,26.0,740.0,14.0,20.0,10.0,12.0,0.0,6.0,21.0,53.0,0,0,0,1,1,0.6,0.6,0.89,0.89,0.06,0.06,0.5,0.5,11.0,11.0,5.0,5.0,28.0,28.0,747.0,747.0,6.0,6.0,11.0,11.0,18.0,18.0,13.0,13.0,0.0,0.0,5.0,5.0,24.0,24.0,61.0,61.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,,0.0,,2,2,10.0
21,25,25,Atl Goianiense,0–1,Corinthians,Paulo Henrique Schleinch Vollkopf,0,1,"https://fbref.com/en/matches/897ef128/Atletico-Goianiense-Corinthians-May-28-2017-Serie-A"">Match Report",0.48,0.52,0.81,0.79,0.36,0.57,0.87,1.0,23.0,5.0,22.0,598.0,19.0,11.0,17.0,17.0,5.0,5.0,21.0,56.0,11.0,9.0,23.0,635.0,14.0,11.0,16.0,18.0,5.0,10.0,25.0,61.0,-1,0,1,0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.53,0.53,0.86,0.86,0.33,0.33,1.0,1.0,6.0,6.0,4.0,4.0,18.0,18.0,664.0,664.0,18.0,18.0,13.0,13.0,12.0,12.0,26.0,26.0,2.0,2.0,13.0,13.0,21.0,21.0,39.0,39.0,,3.0,,3.0,,3.0,0,1,14.0
22,26,26,Santos,0–1,Cruzeiro,Eduardo Tomaz De Aquino Valadão,0,1,"https://fbref.com/en/matches/40f82b29/Santos-Cruzeiro-May-28-2017-Serie-A"">Match Report",0.54,0.46,0.86,0.85,0.08,0.14,0.5,1.0,8.0,9.0,24.0,676.0,18.0,7.0,11.0,22.0,1.0,10.0,12.0,41.0,14.0,6.0,18.0,614.0,25.0,19.0,17.0,29.0,0.0,8.0,16.0,46.0,-1,0,1,0,3,0.47,0.47,0.77,0.77,0.43,0.43,1.0,1.0,24.0,24.0,3.0,3.0,15.0,15.0,542.0,542.0,16.0,16.0,16.0,16.0,12.0,12.0,27.0,27.0,1.0,1.0,12.0,12.0,24.0,24.0,50.0,50.0,0.56,0.56,0.77,0.77,0.29,0.29,0.8,0.8,14.0,14.0,7.0,7.0,19.0,19.0,638.0,638.0,16.0,16.0,11.0,11.0,15.0,15.0,15.0,15.0,2.0,2.0,10.0,10.0,23.0,23.0,52.0,52.0,3.0,1.0,3.0,1.0,3.0,1.0,0,1,15.0
23,27,27,Sport Recife,4–3,Grêmio,Jailson Macêdo Freitas,4,3,"https://fbref.com/en/matches/67c43619/Sport-Recife-Gremio-May-28-2017-Serie-A"">Match Report",0.67,0.33,0.85,0.71,0.56,0.5,0.5,0.6,21.0,12.0,36.0,705.0,18.0,24.0,7.0,12.0,0.0,7.0,17.0,30.0,13.0,6.0,14.0,456.0,20.0,17.0,7.0,30.0,2.0,8.0,21.0,43.0,1,1,0,3,0,0.44,0.44,0.75,0.75,0.5,0.5,0.8,0.8,20.0,20.0,5.0,5.0,14.0,14.0,554.0,554.0,13.0,13.0,26.0,26.0,23.0,23.0,25.0,25.0,1.0,1.0,11.0,11.0,17.0,17.0,49.0,49.0,0.4,0.4,0.81,0.81,0.67,0.67,1.0,1.0,16.0,16.0,3.0,3.0,20.0,20.0,533.0,533.0,20.0,20.0,13.0,13.0,13.0,13.0,21.0,21.0,3.0,3.0,12.0,12.0,16.0,16.0,55.0,55.0,1.0,3.0,1.0,3.0,1.0,3.0,1,7,18.0
24,28,28,Botafogo (RJ),1–0,Bahia,Rodolpho Toski Marques,1,0,"https://fbref.com/en/matches/af2fed5c/Botafogo-RJ-Bahia-May-28-2017-Serie-A"">Match Report",0.48,0.52,0.77,0.8,0.4,0.57,0.87,0.75,20.0,2.0,16.0,579.0,24.0,20.0,17.0,22.0,1.0,7.0,20.0,62.0,18.0,11.0,31.0,581.0,15.0,14.0,22.0,12.0,1.0,7.0,24.0,48.0,1,1,0,3,0,0.4,0.4,0.82,0.82,0.55,0.55,1.0,1.0,15.0,15.0,1.0,1.0,14.0,14.0,611.0,611.0,20.0,20.0,11.0,11.0,4.0,4.0,17.0,17.0,1.0,1.0,9.0,9.0,10.0,10.0,58.0,58.0,0.4,0.4,0.7,0.7,0.33,0.33,0.8,0.8,23.0,23.0,5.0,5.0,17.0,17.0,503.0,503.0,24.0,24.0,15.0,15.0,17.0,17.0,24.0,24.0,3.0,3.0,5.0,5.0,32.0,32.0,47.0,47.0,3.0,0.0,3.0,0.0,3.0,0.0,1,1,13.0
25,29,29,Chapecoense,2–0,Avaí,Marcelo de Lima Henrique,2,0,"https://fbref.com/en/matches/8ff4bcd7/Chapecoense-Avai-May-29-2017-Serie-A"">Match Report",0.57,0.43,0.84,0.78,0.18,0.27,1.0,0.5,16.0,6.0,17.0,690.0,16.0,22.0,14.0,16.0,3.0,8.0,15.0,66.0,11.0,0.0,13.0,557.0,15.0,16.0,9.0,16.0,0.0,13.0,25.0,44.0,2,1,0,3,0,0.45,0.45,0.7,0.7,0.36,0.36,1.0,1.0,16.0,16.0,3.0,3.0,16.0,16.0,523.0,523.0,24.0,24.0,20.0,20.0,23.0,23.0,20.0,20.0,1.0,1.0,4.0,4.0,37.0,37.0,56.0,56.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,3.0,,3.0,,1,2,6.0
26,30,30,Coritiba,1–0,Atl Paranaense,Raphael Claus,1,0,"https://fbref.com/en/matches/9f4a87c4/Coritiba-Atletico-Paranaense-June-3-2017-Serie-A"">Match Report",0.49,0.51,0.74,0.76,0.45,0.22,1.0,0.8,15.0,6.0,18.0,557.0,16.0,23.0,10.0,24.0,1.0,9.0,12.0,66.0,11.0,6.0,23.0,588.0,11.0,15.0,22.0,15.0,5.0,6.0,24.0,58.0,1,1,0,3,0,0.61,0.61,0.85,0.85,0.44,0.44,0.88,0.88,17.0,17.0,6.0,6.0,21.0,21.0,691.0,691.0,24.0,24.0,11.0,11.0,13.0,13.0,17.0,17.0,1.0,1.0,9.0,9.0,15.0,15.0,52.0,52.0,0.6,0.6,0.86,0.86,0.42,0.42,0.3,0.3,11.0,11.0,3.0,3.0,10.0,10.0,669.0,669.0,15.0,15.0,12.0,12.0,11.0,11.0,30.0,30.0,1.0,1.0,10.0,10.0,21.0,21.0,35.0,35.0,3.0,0.0,3.0,0.0,3.0,0.0,1,1,12.0
27,31,31,Fluminense,2–1,Vitória,Ricardo Marques Ribeiro,2,1,"https://fbref.com/en/matches/01ca42ca/Fluminense-Vitoria-June-3-2017-Serie-A"">Match Report",0.56,0.44,0.78,0.73,0.35,0.29,0.5,0.66,18.0,5.0,18.0,636.0,11.0,21.0,23.0,18.0,5.0,10.0,14.0,68.0,22.0,2.0,11.0,528.0,4.0,24.0,19.0,18.0,0.0,10.0,27.0,72.0,1,1,0,3,0,0.38,0.38,0.86,0.86,0.56,0.56,0.71,0.71,15.0,15.0,5.0,5.0,27.0,27.0,483.0,483.0,12.0,12.0,11.0,11.0,12.0,12.0,28.0,28.0,2.0,2.0,10.0,10.0,7.0,7.0,54.0,54.0,0.63,0.63,0.8,0.8,0.08,0.08,1.0,1.0,15.0,15.0,4.0,4.0,12.0,12.0,756.0,756.0,12.0,12.0,18.0,18.0,19.0,19.0,17.0,17.0,2.0,2.0,13.0,13.0,24.0,24.0,81.0,81.0,3.0,1.0,3.0,1.0,3.0,1.0,1,3,7.0
