,index,Index,HT,Score,AT,referee,HomeGoals,AwayGoals,match_report_link,Home_Poss,Away_Poss,Home_PA,Away_PA,Home_ShoT,Away_ShoT,Home_Saves,Away_Saves,HomeFouls,HomeCorners,HomeCrosses,HomeTouches,HomeTackles,HomeInterceptions,HomeAerials,HomeClearances,HomeOffsides,HomeGoalKicks,HomeThrowIns,HomeLongBalls,AwayFouls,AwayCorners,AwayCrosses,AwayTouches,AwayTackles,AwayInterceptions,AwayAerials,AwayClearances,AwayOffsides,AwayGoalKicks,AwayThrowIns,AwayLongBalls,DifferenceGoals,home_win,away_win,points_result_home,points_result_away,home_avrg_Home_Poss,last_3_home_avrg_Home_Poss,home_avrg_Home_PA,last_3_home_avrg_Home_PA,home_avrg_Home_ShoT,last_3_home_avrg_Home_ShoT,home_avrg_Home_Saves,last_3_home_avrg_Home_Saves,home_avrg_HomeFouls,last_3_home_avrg_HomeFouls,home_avrg_HomeCorners,last_3_home_avrg_HomeCorners,home_avrg_HomeCrosses,last_3_home_avrg_HomeCrosses,home_avrg_HomeTouches,last_3_home_avrg_HomeTouches,home_avrg_HomeTackles,last_3_home_avrg_HomeTackles,home_avrg_HomeInterceptions,last_3_home_avrg_HomeInterceptions,home_avrg_HomeAerials,last_3_home_avrg_HomeAerials,home_avrg_HomeClearances,last_3_home_avrg_HomeClearances,home_avrg_HomeOffsides,last_3_home_avrg_HomeOffsides,home_avrg_HomeGoalKicks,last_3_home_avrg_HomeGoalKicks,home_avrg_HomeThrowIns,last_3_home_avrg_HomeThrowIns,home_avrg_HomeLongBalls,last_3_home_avrg_HomeLongBalls,away_avrg_Away_Poss,last_3_away_avrg_Away_Poss,away_avrg_Away_PA,last_3_away_avrg_Away_PA,away_avrg_Away_ShoT,last_3_away_avrg_Away_ShoT,away_avrg_Away_Saves,last_3_away_avrg_Away_Saves,away_avrg_AwayFouls,last_3_away_avrg_AwayFouls,away_avrg_AwayCorners,last_3_away_avrg_AwayCorners,away_avrg_AwayCrosses,last_3_away_avrg_AwayCrosses,away_avrg_AwayTouches,last_3_away_avrg_AwayTouches,away_avrg_AwayTackles,last_3_away_avrg_AwayTackles,away_avrg_AwayInterceptions,last_3_away_avrg_AwayInterceptions,away_avrg_AwayAerials,last_3_away_avrg_AwayAerials,away_avrg_AwayClearances,last_3_away_avrg_AwayClearances,away_avrg_AwayOffsides,last_3_away_avrg_AwayOffsides,away_avrg_AwayGoalKicks,last_3_away_avrg_AwayGoalKicks,away_avrg_AwayThrowIns,last_3_away_avrg_AwayThrowIns,away_avrg_AwayLongBalls,last_3_away_avrg_AwayLongBalls,home_pnts_lst_5,away_pnts_lst_5,home_pnts_lst_3,away_pnts_lst_3,home_pnts_lst_game,away_pnts_lst_game,result,number_of_goals,number_of_corners
350,368,368,Flamengo,1–2,Santos,Braulio da Silva Machado,1,2,"https://fbref.com/en/matches/58e4aeec/Flamengo-Santos-November-26-2017-Serie-A"">Match Report",0.58,0.43,0.85,0.84,0.33,0.67,0.0,0.88,14.0,7.0,39.0,716.0,25.0,17.0,17.0,9.0,0.0,1.0,25.0,35.0,17.0,1.0,7.0,620.0,10.0,15.0,19.0,41.0,0.0,18.0,23.0,73.0,-1,0,1,0,3,0.565294117647059,0.5399999999999999,0.8288235294117647,0.86,0.35117647058823526,0.39666666666666667,0.7811764705882352,0.8300000000000001,15.235294117647058,20.0,7.0,6.333333333333333,25.11764705882353,22.333333333333332,657.4117647058823,653.0,18.176470588235293,21.666666666666668,14.058823529411764,13.666666666666666,15.0,12.0,17.058823529411764,21.666666666666668,2.588235294117647,2.3333333333333335,7.823529411764706,8.0,20.41176470588235,20.333333333333332,51.88235294117647,51.333333333333336,0.5113333333333333,0.5633333333333334,0.8099999999999999,0.8666666666666667,0.3513333333333334,0.39999999999999997,0.7359999999999999,0.5666666666666667,16.0,21.0,5.8,7.0,18.733333333333334,22.333333333333332,623.0,666.3333333333334,14.733333333333333,17.0,11.533333333333333,9.0,15.333333333333334,11.333333333333334,34.6,17.333333333333332,2.1333333333333333,2.0,10.866666666666667,8.666666666666666,20.866666666666667,26.333333333333332,48.733333333333334,40.333333333333336,11.0,2.0,9.0,0.0,3.0,0.0,0,3,8.0
351,369,369,Palmeiras,2–0,Botafogo (RJ),Elmo Alves Resende Cunha,2,0,"https://fbref.com/en/matches/b33d1397/Palmeiras-Botafogo-RJ-November-27-2017-Serie-A"">Match Report",0.63,0.37,0.83,0.73,0.55,0.29,1.0,0.66,19.0,8.0,20.0,717.0,15.0,16.0,26.0,18.0,0.0,9.0,19.0,60.0,17.0,4.0,13.0,497.0,13.0,20.0,16.0,24.0,1.0,4.0,20.0,52.0,2,1,0,3,0,0.5847058823529413,0.5566666666666666,0.8141176470588235,0.8166666666666665,0.31235294117647056,0.41,0.7258823529411764,0.8666666666666667,15.941176470588236,9.333333333333334,7.176470588235294,8.0,28.176470588235293,26.666666666666668,683.2352941176471,706.6666666666666,17.470588235294116,18.333333333333332,13.058823529411764,13.333333333333334,17.58823529411765,15.666666666666666,21.58823529411765,25.666666666666668,1.588235294117647,0.0,5.588235294117647,6.666666666666667,25.058823529411764,25.666666666666668,50.35294117647059,53.666666666666664,0.45466666666666666,0.37666666666666665,0.7566666666666666,0.7433333333333333,0.29600000000000004,0.3233333333333333,0.76,0.7999999999999999,16.2,17.666666666666668,3.0,2.6666666666666665,17.266666666666666,17.0,566.3333333333334,541.0,18.4,25.0,15.533333333333333,19.333333333333332,16.266666666666666,13.333333333333334,27.133333333333333,35.0,1.2,0.6666666666666666,10.866666666666667,10.333333333333334,21.733333333333334,22.333333333333332,61.53333333333333,65.66666666666667,8.0,6.0,7.0,5.0,3.0,1.0,1,2,12.0
352,370,370,Vitória,1–2,Flamengo,Dewson Fernando Freitas da Silva,1,2,"https://fbref.com/en/matches/180c6f08/Vitoria-Flamengo-December-3-2017-Serie-A"">Match Report",0.44,0.56,0.79,0.85,0.22,0.25,0.33,0.75,15.0,4.0,20.0,529.0,12.0,9.0,20.0,12.0,1.0,8.0,20.0,63.0,13.0,2.0,19.0,642.0,19.0,7.0,20.0,35.0,2.0,12.0,17.0,52.0,-1,0,1,0,3,0.5172222222222221,0.39666666666666667,0.7744444444444445,0.7233333333333333,0.32055555555555554,0.47666666666666674,0.6222222222222222,0.7200000000000001,16.38888888888889,19.666666666666668,6.611111111111111,7.333333333333333,28.22222222222222,25.0,606.5555555555555,531.6666666666666,14.38888888888889,14.333333333333334,16.11111111111111,19.0,17.555555555555557,20.0,18.555555555555557,29.333333333333332,1.9444444444444444,1.0,6.333333333333333,10.0,23.72222222222222,18.333333333333332,64.61111111111111,71.0,0.5782352941176471,0.5433333333333333,0.8447058823529412,0.8366666666666666,0.26294117647058823,0.20666666666666667,0.5823529411764706,0.3666666666666667,16.294117647058822,14.666666666666666,6.176470588235294,3.6666666666666665,25.529411764705884,24.333333333333332,672.1176470588235,657.0,15.352941176470589,18.666666666666668,13.823529411764707,12.333333333333334,13.764705882352942,21.0,20.235294117647058,22.0,1.7647058823529411,2.3333333333333335,7.588235294117647,6.0,23.705882352941178,24.0,48.1764705882353,52.666666666666664,5.0,3.0,5.0,0.0,1.0,0.0,0,3,6.0
353,371,371,Sport Recife,1–0,Corinthians,Ricardo Marques Ribeiro,1,0,"https://fbref.com/en/matches/e74a1597/Sport-Recife-Corinthians-December-3-2017-Serie-A"">Match Report",0.48,0.53,0.78,0.81,0.44,0.5,1.0,0.75,19.0,10.0,29.0,622.0,20.0,11.0,24.0,7.0,6.0,6.0,31.0,58.0,18.0,0.0,9.0,682.0,17.0,12.0,23.0,27.0,1.0,9.0,19.0,74.0,1,1,0,3,0,0.5666666666666668,0.5566666666666666,0.795,0.7966666666666667,0.3555555555555555,0.39666666666666667,0.7177777777777777,0.6533333333333333,16.444444444444443,18.333333333333332,7.833333333333333,9.333333333333334,32.5,36.333333333333336,643.1666666666666,654.6666666666666,17.22222222222222,18.666666666666668,17.833333333333332,14.0,16.88888888888889,27.666666666666668,15.944444444444445,14.0,1.3333333333333333,0.3333333333333333,6.944444444444445,5.666666666666667,23.666666666666668,28.333333333333332,45.94444444444444,47.0,0.5258823529411765,0.5233333333333333,0.8270588235294118,0.8233333333333334,0.3976470588235294,0.43333333333333335,0.7805882352941176,0.5,12.647058823529411,13.0,4.647058823529412,6.0,18.0,19.0,613.4705882352941,633.0,13.588235294117647,9.666666666666666,11.294117647058824,9.666666666666666,15.235294117647058,23.0,26.88235294117647,29.0,2.235294117647059,0.3333333333333333,10.352941176470589,8.333333333333334,19.529411764705884,25.0,51.705882352941174,51.333333333333336,5.0,3.0,3.0,3.0,3.0,0.0,1,1,10.0
354,372,372,Vasco da Gama,2–1,Ponte Preta,Rafael Traci,2,1,"https://fbref.com/en/matches/3decaeaf/Vasco-da-Gama-Ponte-Preta-December-3-2017-Serie-A"">Match Report",0.5,0.5,0.75,0.77,0.57,0.1,0.0,0.75,18.0,5.0,14.0,521.0,13.0,18.0,20.0,29.0,2.0,8.0,26.0,59.0,16.0,4.0,18.0,519.0,16.0,9.0,18.0,31.0,0.0,5.0,26.0,40.0,1,1,0,3,0,0.49,0.48666666666666664,0.8064705882352942,0.8099999999999999,0.3135294117647059,0.38000000000000006,0.6694117647058824,0.5433333333333333,15.117647058823529,14.666666666666666,6.0,6.666666666666667,24.470588235294116,24.0,590.0,586.0,17.470588235294116,12.666666666666666,14.0,14.666666666666666,13.882352941176471,15.0,20.58823529411765,22.333333333333332,1.4705882352941178,2.0,7.470588235294118,6.0,21.823529411764707,20.0,52.35294117647059,47.0,0.44937499999999997,0.3466666666666667,0.768125,0.6900000000000001,0.350625,0.42,0.675625,0.5633333333333334,13.75,14.0,3.875,4.333333333333333,17.4375,12.666666666666666,589.4375,458.6666666666667,14.5625,14.666666666666666,18.0625,19.333333333333332,15.3125,23.666666666666668,27.625,37.333333333333336,1.125,0.6666666666666666,8.1875,8.333333333333334,21.875,22.666666666666668,61.75,61.666666666666664,7.0,2.0,3.0,1.0,1.0,0.0,1,3,9.0
355,373,373,Santos,1–1,Avaí,Wagner do Nascimento Magalhaes,1,1,"https://fbref.com/en/matches/b275b424/Santos-Avai-December-3-2017-Serie-A"">Match Report",0.56,0.44,0.9,0.84,0.25,0.29,0.75,0.8,17.0,3.0,16.0,769.0,18.0,16.0,10.0,27.0,3.0,9.0,19.0,42.0,11.0,7.0,27.0,625.0,17.0,23.0,4.0,18.0,0.0,16.0,12.0,46.0,0,0,0,1,1,0.5166666666666666,0.4966666666666666,0.8405555555555556,0.8333333333333334,0.41,0.45,0.8444444444444444,0.8866666666666667,13.777777777777779,16.0,7.0,7.0,22.77777777777778,19.333333333333332,660.6666666666666,626.3333333333334,15.88888888888889,19.0,14.666666666666666,14.666666666666666,12.444444444444445,14.666666666666666,23.88888888888889,25.0,1.9444444444444444,2.6666666666666665,8.833333333333334,9.0,19.5,17.666666666666668,47.166666666666664,52.666666666666664,0.38176470588235295,0.4133333333333334,0.7388235294117647,0.7966666666666667,0.28941176470588237,0.3033333333333333,0.703529411764706,0.6566666666666666,14.058823529411764,9.0,4.588235294117647,4.333333333333333,15.705882352941176,16.0,524.0,585.6666666666666,14.823529411764707,15.666666666666666,19.352941176470587,19.666666666666668,14.176470588235293,16.0,25.764705882352942,25.666666666666668,1.3529411764705883,1.6666666666666667,10.764705882352942,8.333333333333334,23.058823529411764,22.333333333333332,52.76470588235294,48.0,10.0,4.0,6.0,1.0,3.0,1.0,2,2,10.0
356,374,374,Atl Paranaense,3–0,Palmeiras,Claudio Francisco Lima e Silva,3,0,"https://fbref.com/en/matches/5131f795/Atletico-Paranaense-Palmeiras-December-3-2017-Serie-A"">Match Report",0.35,0.65,0.8,0.92,0.6,0.06,1.0,0.5,16.0,6.0,9.0,490.0,11.0,14.0,4.0,19.0,2.0,16.0,12.0,57.0,14.0,6.0,33.0,788.0,12.0,11.0,8.0,14.0,1.0,3.0,16.0,45.0,3,1,0,3,0,0.5666666666666667,0.5566666666666666,0.8433333333333333,0.8433333333333334,0.3644444444444444,0.24,0.5327777777777778,0.5533333333333333,13.61111111111111,8.333333333333334,6.555555555555555,7.333333333333333,25.944444444444443,29.333333333333332,702.6111111111111,694.3333333333334,10.722222222222221,6.666666666666667,12.0,11.333333333333334,17.77777777777778,18.333333333333332,18.333333333333332,17.666666666666668,2.1666666666666665,2.0,7.388888888888889,7.0,27.11111111111111,27.333333333333332,65.16666666666667,78.33333333333333,0.5311111111111111,0.6866666666666666,0.7927777777777778,0.8533333333333334,0.355,0.25333333333333335,0.633888888888889,0.44,16.5,10.333333333333334,4.777777777777778,4.666666666666667,18.38888888888889,27.666666666666668,630.3888888888889,763.3333333333334,16.61111111111111,13.0,14.333333333333334,9.666666666666666,13.5,15.666666666666666,23.444444444444443,15.666666666666666,1.5,1.6666666666666667,6.833333333333333,5.666666666666667,23.166666666666668,26.333333333333332,51.44444444444444,42.666666666666664,8.0,6.0,4.0,0.0,3.0,0.0,1,3,12.0
357,375,375,Atlético Mineiro,4–3,Grêmio,Marcelo Aparecido Ribeiro De Souza,4,3,"https://fbref.com/en/matches/e25bb77d/Atletico-Mineiro-Gremio-December-3-2017-Serie-A"">Match Report",0.63,0.37,0.83,0.73,0.41,0.56,0.4,0.44,17.0,7.0,26.0,693.0,17.0,12.0,18.0,6.0,4.0,5.0,28.0,49.0,20.0,2.0,7.0,488.0,11.0,28.0,16.0,34.0,1.0,13.0,17.0,69.0,1,1,0,3,0,0.5766666666666667,0.5433333333333333,0.8227777777777778,0.8333333333333334,0.36,0.3633333333333333,0.6677777777777778,0.7766666666666667,17.166666666666668,16.666666666666668,7.555555555555555,7.0,28.77777777777778,22.666666666666668,670.3888888888889,643.0,16.88888888888889,14.333333333333334,14.833333333333334,12.333333333333334,14.88888888888889,13.0,16.11111111111111,21.0,2.1666666666666665,1.0,7.111111111111111,8.0,23.72222222222222,23.0,55.55555555555556,59.333333333333336,0.491764705882353,0.5466666666666667,0.8070588235294118,0.8566666666666666,0.43117647058823527,0.3066666666666667,0.7370588235294118,0.81,14.764705882352942,15.666666666666666,4.411764705882353,4.0,14.705882352941176,16.666666666666668,635.0588235294117,703.3333333333334,16.11764705882353,18.0,14.647058823529411,11.666666666666666,13.176470588235293,13.333333333333334,24.823529411764707,26.333333333333332,1.411764705882353,1.0,9.941176470588236,8.333333333333334,19.0,16.666666666666668,54.35294117647059,57.666666666666664,10.0,7.0,7.0,4.0,3.0,0.0,1,7,9.0
358,376,376,São Paulo,1–1,Bahia,Elmo Alves Resende Cunha,1,1,"https://fbref.com/en/matches/d6761bbc/Sao-Paulo-Bahia-December-3-2017-Serie-A"">Match Report",0.6,0.41,0.84,0.73,0.23,0.33,0.66,0.66,19.0,8.0,22.0,604.0,17.0,7.0,7.0,6.0,1.0,5.0,19.0,48.0,29.0,0.0,9.0,460.0,17.0,14.0,4.0,14.0,2.0,6.0,17.0,60.0,0,0,0,1,1,0.5300000000000001,0.5966666666666667,0.83,0.87,0.3982352941176471,0.2733333333333333,0.6558823529411765,0.5,14.117647058823529,11.0,6.294117647058823,8.0,22.88235294117647,27.666666666666668,643.0588235294117,733.6666666666666,15.823529411764707,14.666666666666666,14.0,13.333333333333334,15.176470588235293,16.666666666666668,20.41176470588235,19.0,0.7647058823529411,0.0,8.176470588235293,8.333333333333334,23.11764705882353,26.666666666666668,47.588235294117645,43.0,0.4583333333333333,0.47000000000000003,0.7777777777777779,0.7766666666666667,0.34833333333333333,0.34,0.7255555555555556,0.81,16.944444444444443,19.333333333333332,5.388888888888889,3.3333333333333335,18.166666666666668,16.666666666666668,575.2222222222222,592.0,17.27777777777778,13.333333333333334,13.38888888888889,9.666666666666666,15.555555555555555,18.0,29.22222222222222,41.0,1.3333333333333333,0.6666666666666666,8.555555555555555,8.666666666666666,21.166666666666668,20.666666666666668,55.611111111111114,57.333333333333336,11.0,5.0,5.0,4.0,1.0,0.0,2,2,8.0
359,377,377,Botafogo (RJ),2–2,Cruzeiro,Leandro Bizzio Marinho,2,2,"https://fbref.com/en/matches/29c43a7f/Botafogo-RJ-Cruzeiro-December-3-2017-Serie-A"">Match Report",0.44,0.56,0.8,0.82,0.5,0.25,0.0,0.57,13.0,4.0,20.0,528.0,16.0,20.0,28.0,13.0,3.0,7.0,12.0,47.0,28.0,5.0,14.0,583.0,8.0,12.0,12.0,20.0,1.0,13.0,18.0,51.0,0,0,0,1,1,0.5,0.5466666666666667,0.7976470588235295,0.8233333333333334,0.3852941176470588,0.3166666666666667,0.6011764705882353,0.42,14.705882352941176,13.666666666666666,4.529411764705882,4.666666666666667,23.941176470588236,30.666666666666668,626.7058823529412,694.0,17.764705882352942,14.0,15.588235294117647,15.0,16.58823529411765,18.666666666666668,21.41176470588235,19.666666666666668,1.3529411764705883,0.6666666666666666,7.235294117647059,7.333333333333333,19.88235294117647,20.666666666666668,57.470588235294116,57.0,0.5077777777777778,0.51,0.8122222222222222,0.8033333333333332,0.3266666666666667,0.47,0.7005555555555555,0.6866666666666666,13.944444444444445,8.666666666666666,4.611111111111111,3.6666666666666665,18.27777777777778,16.0,650.9444444444445,674.0,18.27777777777778,17.0,13.61111111111111,13.666666666666666,14.222222222222221,15.0,25.27777777777778,31.0,1.6666666666666667,1.6666666666666667,8.5,10.666666666666666,23.0,19.666666666666668,49.77777777777778,51.333333333333336,6.0,5.0,0.0,2.0,0.0,1.0,2,4,9.0
360,378,378,Chapecoense,2–1,Coritiba,Luiz Flavio De Oliveira,2,1,"https://fbref.com/en/matches/a84f44b6/Chapecoense-Coritiba-December-3-2017-Serie-A"">Match Report",0.48,0.52,0.77,0.8,0.57,0.31,0.75,0.75,18.0,12.0,30.0,488.0,11.0,10.0,11.0,12.0,0.0,7.0,22.0,57.0,11.0,6.0,19.0,548.0,17.0,16.0,12.0,29.0,4.0,7.0,19.0,58.0,1,1,0,3,0,0.4716666666666667,0.4566666666666667,0.7638888888888888,0.7566666666666667,0.3638888888888889,0.4533333333333333,0.6916666666666667,0.7733333333333334,18.666666666666668,16.0,4.833333333333333,2.6666666666666665,23.666666666666668,12.666666666666666,544.3888888888889,516.6666666666666,15.833333333333334,15.333333333333334,13.055555555555555,10.0,17.555555555555557,16.666666666666668,19.166666666666668,25.333333333333332,1.0555555555555556,1.3333333333333333,6.555555555555555,7.666666666666667,25.666666666666668,25.333333333333332,57.44444444444444,58.666666666666664,0.45944444444444443,0.44333333333333336,0.7683333333333332,0.7799999999999999,0.4233333333333334,0.4666666666666666,0.6755555555555556,0.5333333333333333,18.055555555555557,18.666666666666668,4.777777777777778,9.333333333333334,17.5,21.666666666666668,552.1666666666666,520.6666666666666,16.444444444444443,17.0,16.166666666666668,17.666666666666668,16.72222222222222,17.666666666666668,31.88888888888889,35.0,1.6111111111111112,0.6666666666666666,8.833333333333334,7.666666666666667,21.61111111111111,15.333333333333334,55.166666666666664,49.0,10.0,5.0,7.0,4.0,3.0,0.0,1,3,18.0
361,379,379,Atl Goianiense,1–1,Fluminense,Anderson Daronco,1,1,"https://fbref.com/en/matches/341d4663/Atletico-Goianiense-Fluminense-December-3-2017-Serie-A"">Match Report",0.38,0.62,0.78,0.9,0.36,0.53,0.77,0.75,16.0,4.0,19.0,458.0,14.0,14.0,17.0,39.0,2.0,7.0,6.0,37.0,18.0,13.0,37.0,650.0,12.0,11.0,9.0,23.0,1.0,8.0,17.0,35.0,0,0,0,1,1,0.4735294117647059,0.47333333333333333,0.7988235294117647,0.82,0.30176470588235293,0.3666666666666667,0.631764705882353,0.7666666666666666,18.11764705882353,16.333333333333332,5.411764705882353,2.6666666666666665,27.88235294117647,23.0,589.4117647058823,618.0,15.0,16.666666666666668,12.529411764705882,12.333333333333334,13.470588235294118,12.0,16.11764705882353,19.333333333333332,1.8235294117647058,1.3333333333333333,8.058823529411764,7.0,22.470588235294116,25.333333333333332,54.23529411764706,50.333333333333336,0.45944444444444454,0.4633333333333334,0.785,0.8433333333333334,0.3427777777777778,0.29,0.6872222222222222,0.51,16.27777777777778,16.666666666666668,4.0,6.0,15.0,20.333333333333332,559.7222222222222,597.3333333333334,14.166666666666666,15.333333333333334,14.277777777777779,15.0,14.166666666666666,11.666666666666666,30.944444444444443,31.333333333333332,1.8333333333333333,1.0,10.777777777777779,7.333333333333333,18.38888888888889,18.666666666666668,59.111111111111114,46.666666666666664,4.0,4.0,4.0,3.0,1.0,0.0,2,2,17.0
362,380,380,Cruzeiro,0–1,Grêmio,Rodolpho Toski Marques,0,1,"https://fbref.com/en/matches/20cc2647/Cruzeiro-Gremio-April-14-2018-Serie-A"">Match Report",0.41,0.59,0.82,0.86,0.17,0.33,0.5,1.0,20.0,7.0,21.0,587.0,19.0,15.0,12.0,10.0,0.0,3.0,13.0,42.0,15.0,4.0,11.0,835.0,10.0,7.0,21.0,26.0,3.0,5.0,12.0,70.0,-1,0,1,0,3,0.547222222222222,0.6166666666666667,0.8361111111111111,0.8966666666666666,0.385,0.37999999999999995,0.6677777777777778,0.5433333333333333,13.0,13.0,6.277777777777778,9.0,25.77777777777778,38.333333333333336,671.8333333333334,774.0,17.22222222222222,15.666666666666666,12.722222222222221,13.666666666666666,15.944444444444445,11.0,19.333333333333332,12.0,1.3888888888888888,1.3333333333333333,7.666666666666667,6.666666666666667,21.333333333333332,21.333333333333332,45.666666666666664,37.0,0.48500000000000004,0.5133333333333333,0.8027777777777778,0.8233333333333333,0.43833333333333335,0.3266666666666667,0.7205555555555555,0.7200000000000001,15.055555555555555,16.0,4.277777777777778,3.3333333333333335,14.277777777777779,14.0,626.8888888888889,646.6666666666666,15.833333333333334,16.333333333333332,15.38888888888889,16.0,13.333333333333334,14.0,25.333333333333332,25.333333333333332,1.3888888888888888,1.0,10.11111111111111,9.333333333333334,18.88888888888889,15.333333333333334,55.166666666666664,62.333333333333336,7.0,7.0,4.0,3.0,0.0,0.0,0,1,11.0
363,381,381,Vitória,2–2,Flamengo,Wagner Reway,2,2,"https://fbref.com/en/matches/40419a88/Vitoria-Flamengo-April-14-2018-Serie-A"">Match Report",0.66,0.34,0.89,0.72,0.29,0.5,0.6,0.5,24.0,4.0,30.0,729.0,8.0,15.0,15.0,14.0,2.0,5.0,18.0,48.0,10.0,5.0,11.0,463.0,15.0,9.0,14.0,27.0,2.0,11.0,19.0,67.0,0,0,0,1,1,0.513157894736842,0.3433333333333333,0.7752631578947369,0.7000000000000001,0.3152631578947368,0.37333333333333335,0.6068421052631578,0.6633333333333334,16.31578947368421,18.333333333333332,6.473684210526316,3.3333333333333335,27.789473684210527,15.333333333333334,602.4736842105264,471.0,14.263157894736842,13.666666666666666,15.736842105263158,16.333333333333332,17.68421052631579,20.0,18.210526315789473,27.0,1.894736842105263,1.3333333333333333,6.421052631578948,11.333333333333334,23.526315789473685,17.666666666666668,64.52631578947368,70.66666666666667,0.5772222222222223,0.5933333333333334,0.845,0.85,0.2622222222222222,0.21666666666666667,0.5916666666666667,0.45,16.11111111111111,14.333333333333334,5.944444444444445,3.3333333333333335,25.166666666666668,27.0,670.4444444444445,660.0,15.555555555555555,16.666666666666668,13.444444444444445,9.0,14.11111111111111,20.666666666666668,21.055555555555557,25.0,1.7777777777777777,3.0,7.833333333333333,7.666666666666667,23.333333333333332,24.666666666666668,48.388888888888886,49.0,5.0,3.0,4.0,3.0,0.0,3.0,2,4,9.0
364,382,382,Santos,2–0,Ceará,Rodrigo D'Alonso Ferreira,2,0,"https://fbref.com/en/matches/52879269/Santos-Ceara-April-14-2018-Serie-A"">Match Report",0.53,0.47,0.9,0.86,0.14,0.2,1.0,0.66,7.0,4.0,27.0,705.0,18.0,22.0,12.0,8.0,1.0,6.0,20.0,31.0,5.0,2.0,11.0,646.0,16.0,8.0,5.0,27.0,0.0,16.0,23.0,43.0,2,1,0,3,0,0.5189473684210526,0.5166666666666667,0.8436842105263158,0.8433333333333333,0.40157894736842104,0.42333333333333334,0.8394736842105263,0.8033333333333333,13.947368421052632,17.666666666666668,6.7894736842105265,4.666666666666667,22.42105263157895,16.0,666.3684210526316,665.6666666666666,16.0,17.333333333333332,14.736842105263158,14.0,12.31578947368421,12.333333333333334,24.05263157894737,25.666666666666668,2.0,2.6666666666666665,8.842105263157896,10.333333333333334,19.473684210526315,18.666666666666668,46.89473684210526,52.333333333333336,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0,,4.0,,1.0,,1,2,6.0
365,383,383,América (MG),3–0,Sport Recife,Savio Pereira,3,0,"https://fbref.com/en/matches/46ffb2ca/America-MG-Sport-Recife-April-15-2018-Serie-A"">Match Report",0.39,0.61,0.77,0.85,0.31,0.33,1.0,0.25,11.0,2.0,12.0,565.0,25.0,24.0,18.0,16.0,4.0,10.0,18.0,64.0,12.0,6.0,18.0,761.0,13.0,13.0,12.0,12.0,3.0,9.0,25.0,67.0,3,1,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.49470588235294116,0.49333333333333335,0.79,0.8233333333333334,0.3805882352941176,0.35666666666666663,0.5429411764705883,0.3766666666666667,17.647058823529413,16.333333333333332,4.352941176470588,7.666666666666667,18.88235294117647,29.0,621.5294117647059,628.6666666666666,18.11764705882353,15.666666666666666,18.529411764705884,22.333333333333332,14.058823529411764,18.666666666666668,18.176470588235293,15.0,2.235294117647059,3.0,7.705882352941177,6.0,22.823529411764707,25.333333333333332,54.05882352941177,47.0,,4.0,,3.0,,3.0,1,3,8.0
366,384,384,Vasco da Gama,2–1,Atlético Mineiro,André Luiz de Freitas Castro,2,1,"https://fbref.com/en/matches/5d2e0f8b/Vasco-da-Gama-Atletico-Mineiro-April-15-2018-Serie-A"">Match Report",0.66,0.34,0.89,0.8,0.37,0.55,0.83,0.85,11.0,9.0,43.0,792.0,13.0,10.0,16.0,9.0,3.0,6.0,29.0,63.0,18.0,3.0,7.0,515.0,15.0,16.0,20.0,44.0,3.0,8.0,18.0,47.0,1,1,0,3,0,0.4905555555555556,0.52,0.8033333333333333,0.8099999999999999,0.3277777777777778,0.3466666666666667,0.6322222222222222,0.26666666666666666,15.277777777777779,15.0,5.944444444444445,8.0,23.88888888888889,26.333333333333332,586.1666666666666,585.6666666666666,17.22222222222222,15.666666666666666,14.222222222222221,14.333333333333334,14.222222222222221,17.0,21.055555555555557,17.333333333333332,1.5,2.3333333333333335,7.5,6.0,22.055555555555557,22.0,52.72222222222222,48.0,0.4810526315789474,0.44333333333333336,0.783157894736842,0.8000000000000002,0.3957894736842105,0.43333333333333335,0.6552631578947368,0.6833333333333332,16.157894736842106,13.0,4.842105263157895,4.333333333333333,14.68421052631579,10.333333333333334,596.1578947368421,569.0,16.42105263157895,19.333333333333332,14.789473684210526,14.666666666666666,15.31578947368421,12.0,26.789473684210527,28.666666666666668,2.736842105263158,4.0,10.105263157894736,12.0,21.157894736842106,19.666666666666668,55.89473684210526,52.666666666666664,7.0,6.0,5.0,3.0,3.0,1.0,1,3,12.0
