0,1,2,3,4,5,6,7,8,9,10,11
"[('19', 'Fouls', '16')]","[('2', 'Corners', '4')]","[('9', 'Crosses', '14')]","[('631', 'Touches', '686')]","[('13', 'Tackles', '17')]","[('21', 'Interceptions', '11')]","[('10', 'Aerials Won', '16')]","[('8', 'Clearances', '11')]","[('1', 'Offsides', '1')]","[('6', 'Goal Kicks', '8')]","[('21', 'Throw Ins', '17')]","[('47', 'Long Balls', '49')]"
"[('16', 'Fouls', '22')]","[('7', 'Corners', '4')]","[('25', 'Crosses', '11')]","[('628', 'Touches', '537')]","[('9', 'Tackles', '20')]","[('9', 'Interceptions', '10')]","[('11', 'Aerials Won', '14')]","[('7', 'Clearances', '21')]","[('2', 'Offsides', '1')]","[('6', 'Goal Kicks', '10')]","[('19', 'Throw Ins', '16')]","[('53', 'Long Balls', '50')]"
"[('16', 'Fouls', '11')]","[('4', 'Corners', '4')]","[('18', 'Crosses', '17')]","[('562', 'Touches', '503')]","[('14', 'Tackles', '21')]","[('13', 'Interceptions', '11')]","[('17', 'Aerials Won', '18')]","[('14', 'Clearances', '21')]","[('1', 'Offsides', '2')]","[('6', 'Goal Kicks', '12')]","[('33', 'Throw Ins', '26')]","[('53', 'Long Balls', '68')]"
"[('14', 'Fouls', '16')]","[('2', 'Corners', '9')]","[('10', 'Crosses', '30')]","[('543', 'Touches', '672')]","[('15', 'Tackles', '19')]","[('12', 'Interceptions', '9')]","[('10', 'Aerials Won', '17')]","[('17', 'Clearances', '12')]","[('0', 'Offsides', '1')]","[('16', 'Goal Kicks', '7')]","[('17', 'Throw Ins', '26')]","[('61', 'Long Balls', '42')]"
"[('15', 'Fouls', '12')]","[('2', 'Corners', '8')]","[('15', 'Crosses', '21')]","[('679', 'Touches', '559')]","[('13', 'Tackles', '19')]","[('9', 'Interceptions', '15')]","[('12', 'Aerials Won', '13')]","[('16', 'Clearances', '13')]","[('1', 'Offsides', '0')]","[('11', 'Goal Kicks', '5')]","[('18', 'Throw Ins', '31')]","[('57', 'Long Balls', '66')]"
"[('10', 'Fouls', '11')]","[('11', 'Corners', '1')]","[('48', 'Crosses', '3')]","[('886', 'Touches', '432')]","[('5', 'Tackles', '15')]","[('5', 'Interceptions', '11')]","[('20', 'Aerials Won', '13')]","[('6', 'Clearances', '41')]","[('1', 'Offsides', '1')]","[('3', 'Goal Kicks', '15')]","[('20', 'Throw Ins', '8')]","[('56', 'Long Balls', '69')]"
"[('18', 'Fouls', '10')]","[('12', 'Corners', '6')]","[('32', 'Crosses', '27')]","[('724', 'Touches', '550')]","[('11', 'Tackles', '13')]","[('9', 'Interceptions', '15')]","[('14', 'Aerials Won', '11')]","[('22', 'Clearances', '31')]","[('1', 'Offsides', '2')]","[('15', 'Goal Kicks', '7')]","[('19', 'Throw Ins', '19')]","[('60', 'Long Balls', '53')]"
"[('20', 'Fouls', '13')]","[('3', 'Corners', '2')]","[('13', 'Crosses', '11')]","[('606', 'Touches', '599')]","[('9', 'Tackles', '12')]","[('8', 'Interceptions', '13')]","[('14', 'Aerials Won', '11')]","[('13', 'Clearances', '9')]","[('0', 'Offsides', '2')]","[('5', 'Goal Kicks', '11')]","[('24', 'Throw Ins', '18')]","[('50', 'Long Balls', '64')]"
"[('16', 'Fouls', '13')]","[('3', 'Corners', '3')]","[('17', 'Crosses', '22')]","[('640', 'Touches', '644')]","[('13', 'Tackles', '16')]","[('26', 'Interceptions', '12')]","[('15', 'Aerials Won', '12')]","[('19', 'Clearances', '11')]","[('0', 'Offsides', '1')]","[('8', 'Goal Kicks', '10')]","[('13', 'Throw Ins', '22')]","[('66', 'Long Balls', '62')]"
"[('19', 'Fouls', '10')]","[('7', 'Corners', '3')]","[('18', 'Crosses', '17')]","[('648', 'Touches', '488')]","[('7', 'Tackles', '19')]","[('10', 'Interceptions', '7')]","[('13', 'Aerials Won', '5')]","[('13', 'Clearances', '17')]","[('3', 'Offsides', '2')]","[('5', 'Goal Kicks', '8')]","[('9', 'Throw Ins', '24')]","[('51', 'Long Balls', '55')]"
"[('18', 'Fouls', '18')]","[('5', 'Corners', '1')]","[('35', 'Crosses', '7')]","[('685', 'Touches', '532')]","[('17', 'Tackles', '14')]","[('11', 'Interceptions', '9')]","[('11', 'Aerials Won', '9')]","[('6', 'Clearances', '25')]","[('5', 'Offsides', '2')]","[('5', 'Goal Kicks', '7')]","[('25', 'Throw Ins', '25')]","[('42', 'Long Balls', '65')]"
"[('13', 'Fouls', '16')]","[('5', 'Corners', '6')]","[('16', 'Crosses', '15')]","[('683', 'Touches', '606')]","[('13', 'Tackles', '15')]","[('6', 'Interceptions', '11')]","[('3', 'Aerials Won', '9')]","[('11', 'Clearances', '14')]","[('1', 'Offsides', '2')]","[('13', 'Goal Kicks', '3')]","[('14', 'Throw Ins', '14')]","[('46', 'Long Balls', '47')]"
"[('15', 'Fouls', '23')]","[('1', 'Corners', '4')]","[('10', 'Crosses', '21')]","[('634', 'Touches', '547')]","[('14', 'Tackles', '17')]","[('8', 'Interceptions', '11')]","[('14', 'Aerials Won', '7')]","[('16', 'Clearances', '8')]","[('0', 'Offsides', '1')]","[('7', 'Goal Kicks', '5')]","[('18', 'Throw Ins', '20')]","[('64', 'Long Balls', '45')]"
"[('11', 'Fouls', '13')]","[('6', 'Corners', '2')]","[('23', 'Crosses', '9')]","[('694', 'Touches', '569')]","[('13', 'Tackles', '18')]","[('8', 'Interceptions', '7')]","[('12', 'Aerials Won', '13')]","[('11', 'Clearances', '35')]","[('2', 'Offsides', '0')]","[('2', 'Goal Kicks', '9')]","[('17', 'Throw Ins', '10')]","[('24', 'Long Balls', '47')]"
"[('8', 'Fouls', '6')]","[('5', 'Corners', '8')]","[('11', 'Crosses', '29')]","[('541', 'Touches', '790')]","[('30', 'Tackles', '30')]","[('9', 'Interceptions', '15')]","[('16', 'Aerials Won', '16')]","[('23', 'Clearances', '16')]","[('2', 'Offsides', '2')]","[('10', 'Goal Kicks', '4')]","[('25', 'Throw Ins', '28')]","[('63', 'Long Balls', '51')]"
"[('15', 'Fouls', '12')]","[('6', 'Corners', '2')]","[('21', 'Crosses', '11')]","[('716', 'Touches', '485')]","[('15', 'Tackles', '9')]","[('10', 'Interceptions', '13')]","[('15', 'Aerials Won', '9')]","[('5', 'Clearances', '25')]","[('3', 'Offsides', '1')]","[('5', 'Goal Kicks', '12')]","[('27', 'Throw Ins', '20')]","[('50', 'Long Balls', '57')]"
"[('24', 'Fouls', '11')]","[('5', 'Corners', '9')]","[('12', 'Crosses', '25')]","[('500', 'Touches', '615')]","[('26', 'Tackles', '15')]","[('10', 'Interceptions', '7')]","[('17', 'Aerials Won', '9')]","[('25', 'Clearances', '10')]","[('2', 'Offsides', '1')]","[('9', 'Goal Kicks', '7')]","[('22', 'Throw Ins', '34')]","[('69', 'Long Balls', '62')]"
"[('21', 'Fouls', '21')]","[('6', 'Corners', '3')]","[('19', 'Crosses', '10')]","[('753', 'Touches', '503')]","[('14', 'Tackles', '18')]","[('5', 'Interceptions', '17')]","[('14', 'Aerials Won', '12')]","[('11', 'Clearances', '14')]","[('0', 'Offsides', '2')]","[('6', 'Goal Kicks', '5')]","[('23', 'Throw Ins', '9')]","[('33', 'Long Balls', '55')]"
"[('10', 'Fouls', '9')]","[('5', 'Corners', '8')]","[('12', 'Crosses', '28')]","[('440', 'Touches', '902')]","[('20', 'Tackles', '16')]","[('14', 'Interceptions', '13')]","[('14', 'Aerials Won', '13')]","[('31', 'Clearances', '5')]","[('3', 'Offsides', '3')]","[('12', 'Goal Kicks', '6')]","[('14', 'Throw Ins', '29')]","[('54', 'Long Balls', '47')]"
"[('16', 'Fouls', '16')]","[('1', 'Corners', '4')]","[('12', 'Crosses', '26')]","[('554', 'Touches', '721')]","[('12', 'Tackles', '9')]","[('16', 'Interceptions', '13')]","[('14', 'Aerials Won', '17')]","[('25', 'Clearances', '8')]","[('3', 'Offsides', '0')]","[('11', 'Goal Kicks', '1')]","[('14', 'Throw Ins', '22')]","[('82', 'Long Balls', '48')]"
"[('13', 'Fouls', '16')]","[('5', 'Corners', '4')]","[('29', 'Crosses', '16')]","[('660', 'Touches', '492')]","[('12', 'Tackles', '13')]","[('13', 'Interceptions', '10')]","[('15', 'Aerials Won', '7')]","[('11', 'Clearances', '21')]","[('1', 'Offsides', '0')]","[('6', 'Goal Kicks', '15')]","[('20', 'Throw Ins', '10')]","[('55', 'Long Balls', '46')]"
"[('12', 'Fouls', '19')]","[('9', 'Corners', '5')]","[('34', 'Crosses', '10')]","[('576', 'Touches', '528')]","[('13', 'Tackles', '12')]","[('13', 'Interceptions', '16')]","[('11', 'Aerials Won', '9')]","[('6', 'Clearances', '22')]","[('1', 'Offsides', '2')]","[('7', 'Goal Kicks', '8')]","[('9', 'Throw Ins', '17')]","[('42', 'Long Balls', '40')]"
"[('18', 'Fouls', '12')]","[('4', 'Corners', '7')]","[('21', 'Crosses', '26')]","[('641', 'Touches', '576')]","[('11', 'Tackles', '13')]","[('10', 'Interceptions', '12')]","[('14', 'Aerials Won', '16')]","[('21', 'Clearances', '17')]","[('4', 'Offsides', '2')]","[('10', 'Goal Kicks', '9')]","[('23', 'Throw Ins', '19')]","[('53', 'Long Balls', '60')]"
"[('18', 'Fouls', '13')]","[('3', 'Corners', '8')]","[('14', 'Crosses', '25')]","[('556', 'Touches', '747')]","[('15', 'Tackles', '20')]","[('12', 'Interceptions', '12')]","[('6', 'Aerials Won', '8')]","[('19', 'Clearances', '11')]","[('1', 'Offsides', '1')]","[('8', 'Goal Kicks', '10')]","[('26', 'Throw Ins', '24')]","[('50', 'Long Balls', '50')]"
"[('13', 'Fouls', '12')]","[('2', 'Corners', '11')]","[('6', 'Crosses', '44')]","[('379', 'Touches', '850')]","[('16', 'Tackles', '11')]","[('11', 'Interceptions', '1')]","[('12', 'Aerials Won', '26')]","[('46', 'Clearances', '10')]","[('0', 'Offsides', '2')]","[('10', 'Goal Kicks', '4')]","[('10', 'Throw Ins', '26')]","[('67', 'Long Balls', '56')]"
"[('16', 'Fouls', '15')]","[('2', 'Corners', '4')]","[('18', 'Crosses', '11')]","[('543', 'Touches', '460')]","[('13', 'Tackles', '6')]","[('10', 'Interceptions', '5')]","[('9', 'Aerials Won', '8')]","[('6', 'Clearances', '17')]","[('4', 'Offsides', '0')]","[('4', 'Goal Kicks', '12')]","[('22', 'Throw Ins', '20')]","[('47', 'Long Balls', '64')]"
"[('18', 'Fouls', '15')]","[('4', 'Corners', '6')]","[('11', 'Crosses', '25')]","[('613', 'Touches', '660')]","[('11', 'Tackles', '15')]","[('10', 'Interceptions', '5')]","[('16', 'Aerials Won', '16')]","[('17', 'Clearances', '12')]","[('0', 'Offsides', '1')]","[('7', 'Goal Kicks', '7')]","[('18', 'Throw Ins', '17')]","[('43', 'Long Balls', '42')]"
"[('17', 'Fouls', '12')]","[('5', 'Corners', '3')]","[('22', 'Crosses', '14')]","[('601', 'Touches', '572')]","[('13', 'Tackles', '7')]","[('5', 'Interceptions', '4')]","[('20', 'Aerials Won', '15')]","[('14', 'Clearances', '13')]","[('1', 'Offsides', '2')]","[('11', 'Goal Kicks', '13')]","[('19', 'Throw Ins', '24')]","[('46', 'Long Balls', '69')]"
"[('16', 'Fouls', '15')]","[('2', 'Corners', '5')]","[('12', 'Crosses', '24')]","[('454', 'Touches', '706')]","[('14', 'Tackles', '11')]","[('11', 'Interceptions', '12')]","[('10', 'Aerials Won', '12')]","[('22', 'Clearances', '10')]","[('1', 'Offsides', '2')]","[('13', 'Goal Kicks', '6')]","[('12', 'Throw Ins', '20')]","[('58', 'Long Balls', '43')]"
"[('14', 'Fouls', '25')]","[('5', 'Corners', '5')]","[('16', 'Crosses', '17')]","[('537', 'Touches', '760')]","[('15', 'Tackles', '14')]","[('15', 'Interceptions', '12')]","[('16', 'Aerials Won', '18')]","[('23', 'Clearances', '18')]","[('3', 'Offsides', '2')]","[('6', 'Goal Kicks', '7')]","[('16', 'Throw Ins', '21')]","[('52', 'Long Balls', '58')]"
"[('14', 'Fouls', '11')]","[('8', 'Corners', '1')]","[('25', 'Crosses', '13')]","[('808', 'Touches', '513')]","[('16', 'Tackles', '26')]","[('13', 'Interceptions', '23')]","[('16', 'Aerials Won', '9')]","[('5', 'Clearances', '21')]","[('4', 'Offsides', '1')]","[('2', 'Goal Kicks', '15')]","[('22', 'Throw Ins', '18')]","[('67', 'Long Balls', '73')]"
"[('11', 'Fouls', '15')]","[('6', 'Corners', '8')]","[('27', 'Crosses', '15')]","[('717', 'Touches', '493')]","[('15', 'Tackles', '10')]","[('10', 'Interceptions', '15')]","[('27', 'Aerials Won', '8')]","[('26', 'Clearances', '24')]","[('0', 'Offsides', '0')]","[('4', 'Goal Kicks', '17')]","[('21', 'Throw Ins', '19')]","[('48', 'Long Balls', '49')]"
"[('19', 'Fouls', '14')]","[('6', 'Corners', '1')]","[('12', 'Crosses', '11')]","[('596', 'Touches', '676')]","[('29', 'Tackles', '17')]","[('10', 'Interceptions', '11')]","[('14', 'Aerials Won', '25')]","[('9', 'Clearances', '9')]","[('3', 'Offsides', '2')]","[('7', 'Goal Kicks', '6')]","[('24', 'Throw Ins', '22')]","[('78', 'Long Balls', '69')]"
"[('11', 'Fouls', '13')]","[('1', 'Corners', '4')]","[('9', 'Crosses', '23')]","[('658', 'Touches', '618')]","[('7', 'Tackles', '18')]","[('10', 'Interceptions', '6')]","[('21', 'Aerials Won', '17')]","[('25', 'Clearances', '10')]","[('1', 'Offsides', '0')]","[('11', 'Goal Kicks', '8')]","[('24', 'Throw Ins', '20')]","[('53', 'Long Balls', '50')]"
"[('6', 'Fouls', '19')]","[('2', 'Corners', '7')]","[('18', 'Crosses', '29')]","[('607', 'Touches', '628')]","[('9', 'Tackles', '18')]","[('6', 'Interceptions', '17')]","[('14', 'Aerials Won', '20')]","[('17', 'Clearances', '21')]","[('1', 'Offsides', '3')]","[('7', 'Goal Kicks', '3')]","[('19', 'Throw Ins', '16')]","[('57', 'Long Balls', '46')]"
"[('16', 'Fouls', '18')]","[('5', 'Corners', '2')]","[('17', 'Crosses', '29')]","[('589', 'Touches', '545')]","[('17', 'Tackles', '9')]","[('8', 'Interceptions', '24')]","[('14', 'Aerials Won', '18')]","[('25', 'Clearances', '19')]","[('1', 'Offsides', '3')]","[('13', 'Goal Kicks', '9')]","[('17', 'Throw Ins', '23')]","[('51', 'Long Balls', '54')]"
"[('18', 'Fouls', '25')]","[('9', 'Corners', '1')]","[('21', 'Crosses', '15')]","[('588', 'Touches', '533')]","[('12', 'Tackles', '19')]","[('7', 'Interceptions', '11')]","[('15', 'Aerials Won', '5')]","[('15', 'Clearances', '25')]","[('1', 'Offsides', '0')]","[('4', 'Goal Kicks', '17')]","[('23', 'Throw Ins', '19')]","[('52', 'Long Balls', '57')]"
"[('17', 'Fouls', '11')]","[('6', 'Corners', '3')]","[('15', 'Crosses', '12')]","[('683', 'Touches', '633')]","[('20', 'Tackles', '12')]","[('19', 'Interceptions', '16')]","[('17', 'Aerials Won', '14')]","[('9', 'Clearances', '7')]","[('1', 'Offsides', '0')]","[('6', 'Goal Kicks', '7')]","[('16', 'Throw Ins', '16')]","[('47', 'Long Balls', '54')]"
"[('18', 'Fouls', '11')]","[('11', 'Corners', '5')]","[('34', 'Crosses', '15')]","[('753', 'Touches', '530')]","[('20', 'Tackles', '17')]","[('12', 'Interceptions', '17')]","[('24', 'Aerials Won', '25')]","[('18', 'Clearances', '34')]","[('3', 'Offsides', '0')]","[('9', 'Goal Kicks', '12')]","[('20', 'Throw Ins', '9')]","[('57', 'Long Balls', '43')]"
"[('17', 'Fouls', '15')]","[('6', 'Corners', '4')]","[('22', 'Crosses', '15')]","[('592', 'Touches', '546')]","[('17', 'Tackles', '11')]","[('23', 'Interceptions', '16')]","[('16', 'Aerials Won', '21')]","[('23', 'Clearances', '21')]","[('1', 'Offsides', '3')]","[('7', 'Goal Kicks', '9')]","[('22', 'Throw Ins', '24')]","[('62', 'Long Balls', '51')]"
"[('13', 'Fouls', '18')]","[('10', 'Corners', '8')]","[('20', 'Crosses', '21')]","[('458', 'Touches', '485')]","[('10', 'Tackles', '24')]","[('6', 'Interceptions', '12')]","[('24', 'Aerials Won', '10')]","[('19', 'Clearances', '27')]","[('2', 'Offsides', '3')]","[('7', 'Goal Kicks', '7')]","[('17', 'Throw Ins', '11')]","[('38', 'Long Balls', '35')]"
"[('15', 'Fouls', '11')]","[('4', 'Corners', '2')]","[('13', 'Crosses', '16')]","[('718', 'Touches', '454')]","[('17', 'Tackles', '18')]","[('11', 'Interceptions', '16')]","[('11', 'Aerials Won', '9')]","[('15', 'Clearances', '12')]","[('1', 'Offsides', '1')]","[('9', 'Goal Kicks', '6')]","[('21', 'Throw Ins', '21')]","[('46', 'Long Balls', '44')]"
"[('17', 'Fouls', '12')]","[('2', 'Corners', '4')]","[('12', 'Crosses', '26')]","[('528', 'Touches', '787')]","[('15', 'Tackles', '18')]","[('19', 'Interceptions', '9')]","[('22', 'Aerials Won', '20')]","[('19', 'Clearances', '13')]","[('2', 'Offsides', '2')]","[('13', 'Goal Kicks', '7')]","[('31', 'Throw Ins', '30')]","[('81', 'Long Balls', '76')]"
"[('18', 'Fouls', '18')]","[('6', 'Corners', '4')]","[('21', 'Crosses', '13')]","[('648', 'Touches', '583')]","[('16', 'Tackles', '21')]","[('14', 'Interceptions', '10')]","[('12', 'Aerials Won', '12')]","[('12', 'Clearances', '24')]","[('2', 'Offsides', '0')]","[('5', 'Goal Kicks', '6')]","[('19', 'Throw Ins', '10')]","[('52', 'Long Balls', '56')]"
"[('10', 'Fouls', '12')]","[('3', 'Corners', '9')]","[('17', 'Crosses', '26')]","[('486', 'Touches', '721')]","[('12', 'Tackles', '11')]","[('18', 'Interceptions', '7')]","[('12', 'Aerials Won', '14')]","[('28', 'Clearances', '13')]","[('2', 'Offsides', '0')]","[('10', 'Goal Kicks', '11')]","[('16', 'Throw Ins', '27')]","[('70', 'Long Balls', '39')]"
"[('9', 'Fouls', '19')]","[('10', 'Corners', '2')]","[('35', 'Crosses', '16')]","[('709', 'Touches', '447')]","[('14', 'Tackles', '10')]","[('10', 'Interceptions', '9')]","[('19', 'Aerials Won', '18')]","[('14', 'Clearances', '34')]","[('1', 'Offsides', '1')]","[('4', 'Goal Kicks', '12')]","[('24', 'Throw Ins', '22')]","[('42', 'Long Balls', '58')]"
"[('9', 'Fouls', '13')]","[('9', 'Corners', '3')]","[('36', 'Crosses', '15')]","[('730', 'Touches', '553')]","[('16', 'Tackles', '25')]","[('7', 'Interceptions', '10')]","[('11', 'Aerials Won', '20')]","[('15', 'Clearances', '28')]","[('0', 'Offsides', '2')]","[('7', 'Goal Kicks', '4')]","[('24', 'Throw Ins', '16')]","[('53', 'Long Balls', '41')]"
"[('19', 'Fouls', '17')]","[('4', 'Corners', '4')]","[('28', 'Crosses', '22')]","[('698', 'Touches', '541')]","[('15', 'Tackles', '10')]","[('7', 'Interceptions', '12')]","[('18', 'Aerials Won', '14')]","[('17', 'Clearances', '20')]","[('1', 'Offsides', '1')]","[('7', 'Goal Kicks', '10')]","[('20', 'Throw Ins', '14')]","[('42', 'Long Balls', '43')]"
"[('14', 'Fouls', '11')]","[('4', 'Corners', '7')]","[('16', 'Crosses', '28')]","[('443', 'Touches', '706')]","[('16', 'Tackles', '13')]","[('16', 'Interceptions', '11')]","[('17', 'Aerials Won', '18')]","[('33', 'Clearances', '12')]","[('1', 'Offsides', '2')]","[('6', 'Goal Kicks', '7')]","[('15', 'Throw Ins', '21')]","[('47', 'Long Balls', '36')]"
"[('14', 'Fouls', '12')]","[('8', 'Corners', '10')]","[('26', 'Crosses', '24')]","[('519', 'Touches', '569')]","[('13', 'Tackles', '13')]","[('6', 'Interceptions', '10')]","[('15', 'Aerials Won', '17')]","[('14', 'Clearances', '25')]","[('3', 'Offsides', '0')]","[('9', 'Goal Kicks', '9')]","[('28', 'Throw Ins', '22')]","[('44', 'Long Balls', '76')]"
"[('15', 'Fouls', '18')]","[('2', 'Corners', '3')]","[('16', 'Crosses', '15')]","[('563', 'Touches', '557')]","[('9', 'Tackles', '14')]","[('9', 'Interceptions', '6')]","[('16', 'Aerials Won', '17')]","[('20', 'Clearances', '14')]","[('1', 'Offsides', '2')]","[('8', 'Goal Kicks', '4')]","[('17', 'Throw Ins', '25')]","[('76', 'Long Balls', '31')]"
"[('12', 'Fouls', '12')]","[('7', 'Corners', '5')]","[('25', 'Crosses', '23')]","[('616', 'Touches', '569')]","[('7', 'Tackles', '8')]","[('9', 'Interceptions', '10')]","[('7', 'Aerials Won', '9')]","[('11', 'Clearances', '22')]","[('1', 'Offsides', '1')]","[('10', 'Goal Kicks', '9')]","[('16', 'Throw Ins', '21')]","[('42', 'Long Balls', '50')]"
"[('11', 'Fouls', '20')]","[('4', 'Corners', '11')]","[('23', 'Crosses', '26')]","[('558', 'Touches', '573')]","[('8', 'Tackles', '13')]","[('14', 'Interceptions', '10')]","[('20', 'Aerials Won', '21')]","[('32', 'Clearances', '24')]","[('1', 'Offsides', '1')]","[('6', 'Goal Kicks', '10')]","[('21', 'Throw Ins', '16')]","[('40', 'Long Balls', '47')]"
"[('22', 'Fouls', '13')]","[('9', 'Corners', '2')]","[('15', 'Crosses', '13')]","[('686', 'Touches', '542')]","[('15', 'Tackles', '11')]","[('10', 'Interceptions', '22')]","[('24', 'Aerials Won', '10')]","[('13', 'Clearances', '16')]","[('2', 'Offsides', '1')]","[('7', 'Goal Kicks', '8')]","[('21', 'Throw Ins', '22')]","[('60', 'Long Balls', '57')]"
"[('11', 'Fouls', '12')]","[('2', 'Corners', '7')]","[('16', 'Crosses', '22')]","[('577', 'Touches', '648')]","[('10', 'Tackles', '24')]","[('19', 'Interceptions', '15')]","[('6', 'Aerials Won', '13')]","[('21', 'Clearances', '14')]","[('2', 'Offsides', '1')]","[('11', 'Goal Kicks', '10')]","[('13', 'Throw Ins', '18')]","[('63', 'Long Balls', '48')]"
"[('12', 'Fouls', '14')]","[('4', 'Corners', '12')]","[('10', 'Crosses', '37')]","[('473', 'Touches', '821')]","[('20', 'Tackles', '10')]","[('13', 'Interceptions', '14')]","[('16', 'Aerials Won', '26')]","[('21', 'Clearances', '15')]","[('3', 'Offsides', '1')]","[('12', 'Goal Kicks', '5')]","[('10', 'Throw Ins', '19')]","[('46', 'Long Balls', '49')]"
"[('10', 'Fouls', '12')]","[('1', 'Corners', '7')]","[('15', 'Crosses', '22')]","[('810', 'Touches', '496')]","[('19', 'Tackles', '17')]","[('9', 'Interceptions', '22')]","[('14', 'Aerials Won', '17')]","[('12', 'Clearances', '16')]","[('1', 'Offsides', '3')]","[('10', 'Goal Kicks', '4')]","[('25', 'Throw Ins', '24')]","[('54', 'Long Balls', '43')]"
"[('11', 'Fouls', '11')]","[('14', 'Corners', '3')]","[('30', 'Crosses', '10')]","[('487', 'Touches', '669')]","[('22', 'Tackles', '15')]","[('7', 'Interceptions', '12')]","[('7', 'Aerials Won', '11')]","[('16', 'Clearances', '30')]","[('4', 'Offsides', '1')]","[('4', 'Goal Kicks', '10')]","[('20', 'Throw Ins', '21')]","[('44', 'Long Balls', '35')]"
"[('10', 'Fouls', '13')]","[('5', 'Corners', '5')]","[('22', 'Crosses', '32')]","[('550', 'Touches', '760')]","[('28', 'Tackles', '13')]","[('25', 'Interceptions', '15')]","[('13', 'Aerials Won', '13')]","[('31', 'Clearances', '22')]","[('0', 'Offsides', '0')]","[('10', 'Goal Kicks', '2')]","[('23', 'Throw Ins', '30')]","[('55', 'Long Balls', '71')]"
"[('24', 'Fouls', '17')]","[('3', 'Corners', '4')]","[('15', 'Crosses', '19')]","[('542', 'Touches', '578')]","[('16', 'Tackles', '10')]","[('16', 'Interceptions', '18')]","[('12', 'Aerials Won', '10')]","[('27', 'Clearances', '12')]","[('1', 'Offsides', '2')]","[('12', 'Goal Kicks', '7')]","[('24', 'Throw Ins', '21')]","[('50', 'Long Balls', '55')]"
"[('13', 'Fouls', '23')]","[('10', 'Corners', '5')]","[('28', 'Crosses', '17')]","[('615', 'Touches', '503')]","[('33', 'Tackles', '24')]","[('16', 'Interceptions', '15')]","[('17', 'Aerials Won', '17')]","[('8', 'Clearances', '24')]","[('3', 'Offsides', '3')]","[('11', 'Goal Kicks', '5')]","[('27', 'Throw Ins', '32')]","[('57', 'Long Balls', '47')]"
"[('13', 'Fouls', '6')]","[('3', 'Corners', '4')]","[('20', 'Crosses', '18')]","[('596', 'Touches', '664')]","[('15', 'Tackles', '18')]","[('19', 'Interceptions', '13')]","[('15', 'Aerials Won', '12')]","[('17', 'Clearances', '26')]","[('0', 'Offsides', '2')]","[('5', 'Goal Kicks', '13')]","[('22', 'Throw Ins', '21')]","[('74', 'Long Balls', '39')]"
"[('16', 'Fouls', '10')]","[('5', 'Corners', '6')]","[('17', 'Crosses', '19')]","[('647', 'Touches', '562')]","[('21', 'Tackles', '18')]","[('17', 'Interceptions', '18')]","[('18', 'Aerials Won', '13')]","[('28', 'Clearances', '10')]","[('1', 'Offsides', '2')]","[('15', 'Goal Kicks', '7')]","[('20', 'Throw Ins', '41')]","[('58', 'Long Balls', '47')]"
"[('19', 'Fouls', '16')]","[('9', 'Corners', '6')]","[('35', 'Crosses', '12')]","[('558', 'Touches', '550')]","[('17', 'Tackles', '9')]","[('17', 'Interceptions', '12')]","[('20', 'Aerials Won', '23')]","[('14', 'Clearances', '34')]","[('7', 'Offsides', '4')]","[('9', 'Goal Kicks', '8')]","[('22', 'Throw Ins', '20')]","[('63', 'Long Balls', '46')]"
"[('8', 'Fouls', '14')]","[('9', 'Corners', '6')]","[('24', 'Crosses', '18')]","[('676', 'Touches', '614')]","[('18', 'Tackles', '25')]","[('7', 'Interceptions', '19')]","[('11', 'Aerials Won', '17')]","[('22', 'Clearances', '29')]","[('1', 'Offsides', '0')]","[('10', 'Goal Kicks', '8')]","[('12', 'Throw Ins', '16')]","[('41', 'Long Balls', '46')]"
"[('20', 'Fouls', '18')]","[('2', 'Corners', '11')]","[('16', 'Crosses', '31')]","[('579', 'Touches', '581')]","[('24', 'Tackles', '15')]","[('20', 'Interceptions', '14')]","[('17', 'Aerials Won', '22')]","[('22', 'Clearances', '12')]","[('1', 'Offsides', '1')]","[('7', 'Goal Kicks', '7')]","[('20', 'Throw Ins', '24')]","[('62', 'Long Balls', '48')]"
"[('18', 'Fouls', '22')]","[('5', 'Corners', '2')]","[('18', 'Crosses', '11')]","[('636', 'Touches', '528')]","[('11', 'Tackles', '4')]","[('21', 'Interceptions', '24')]","[('23', 'Aerials Won', '19')]","[('18', 'Clearances', '18')]","[('5', 'Offsides', '0')]","[('10', 'Goal Kicks', '10')]","[('14', 'Throw Ins', '27')]","[('68', 'Long Balls', '72')]"
"[('19', 'Fouls', '19')]","[('11', 'Corners', '2')]","[('37', 'Crosses', '10')]","[('613', 'Touches', '427')]","[('17', 'Tackles', '17')]","[('14', 'Interceptions', '10')]","[('12', 'Aerials Won', '12')]","[('11', 'Clearances', '30')]","[('0', 'Offsides', '4')]","[('4', 'Goal Kicks', '11')]","[('15', 'Throw Ins', '21')]","[('33', 'Long Balls', '47')]"
"[('20', 'Fouls', '11')]","[('7', 'Corners', '6')]","[('22', 'Crosses', '12')]","[('603', 'Touches', '553')]","[('13', 'Tackles', '16')]","[('23', 'Interceptions', '10')]","[('16', 'Aerials Won', '14')]","[('11', 'Clearances', '28')]","[('1', 'Offsides', '2')]","[('3', 'Goal Kicks', '12')]","[('27', 'Throw Ins', '26')]","[('44', 'Long Balls', '68')]"
