0,1,2,3,4,5,6,7,8,9,10,11
"[('10', 'Fouls', '14')]","[('14', 'Corners', '1')]","[('44', 'Crosses', '10')]","[('641', 'Touches', '530')]","[('15', 'Tackles', '7')]","[('9', 'Interceptions', '9')]","[('18', 'Aerials Won', '10')]","[('7', 'Clearances', '48')]","[('2', 'Offsides', '3')]","[('2', 'Goal Kicks', '15')]","[('18', 'Throw Ins', '12')]","[('57', 'Long Balls', '65')]"
"[('22', 'Fouls', '9')]","[('5', 'Corners', '1')]","[('24', 'Crosses', '5')]","[('530', 'Touches', '591')]","[('13', 'Tackles', '20')]","[('11', 'Interceptions', '14')]","[('19', 'Aerials Won', '12')]","[('1', 'Clearances', '24')]","[('0', 'Offsides', '2')]","[('6', 'Goal Kicks', '12')]","[('30', 'Throw Ins', '18')]","[('51', 'Long Balls', '56')]"
"[('15', 'Fouls', '19')]","[('3', 'Corners', '3')]","[('17', 'Crosses', '16')]","[('562', 'Touches', '578')]","[('16', 'Tackles', '26')]","[('12', 'Interceptions', '18')]","[('10', 'Aerials Won', '10')]","[('19', 'Clearances', '18')]","[('2', 'Offsides', '2')]","[('7', 'Goal Kicks', '8')]","[('25', 'Throw Ins', '26')]","[('61', 'Long Balls', '43')]"
"[('11', 'Fouls', '15')]","[('3', 'Corners', '0')]","[('15', 'Crosses', '27')]","[('686', 'Touches', '575')]","[('15', 'Tackles', '17')]","[('12', 'Interceptions', '12')]","[('10', 'Aerials Won', '15')]","[('30', 'Clearances', '15')]","[('2', 'Offsides', '1')]","[('8', 'Goal Kicks', '8')]","[('24', 'Throw Ins', '29')]","[('62', 'Long Balls', '49')]"
"[('11', 'Fouls', '21')]","[('7', 'Corners', '2')]","[('24', 'Crosses', '14')]","[('810', 'Touches', '433')]","[('12', 'Tackles', '8')]","[('15', 'Interceptions', '21')]","[('25', 'Aerials Won', '16')]","[('10', 'Clearances', '25')]","[('1', 'Offsides', '1')]","[('3', 'Goal Kicks', '11')]","[('26', 'Throw Ins', '17')]","[('53', 'Long Balls', '60')]"
"[('10', 'Fouls', '10')]","[('12', 'Corners', '6')]","[('53', 'Crosses', '11')]","[('758', 'Touches', '477')]","[('22', 'Tackles', '19')]","[('23', 'Interceptions', '8')]","[('18', 'Aerials Won', '20')]","[('7', 'Clearances', '50')]","[('2', 'Offsides', '4')]","[('3', 'Goal Kicks', '16')]","[('28', 'Throw Ins', '28')]","[('57', 'Long Balls', '60')]"
"[('21', 'Fouls', '14')]","[('5', 'Corners', '1')]","[('22', 'Crosses', '16')]","[('665', 'Touches', '562')]","[('23', 'Tackles', '18')]","[('32', 'Interceptions', '23')]","[('10', 'Aerials Won', '14')]","[('14', 'Clearances', '27')]","[('1', 'Offsides', '3')]","[('9', 'Goal Kicks', '5')]","[('19', 'Throw Ins', '28')]","[('47', 'Long Balls', '52')]"
"[('16', 'Fouls', '14')]","[('10', 'Corners', '7')]","[('21', 'Crosses', '22')]","[('595', 'Touches', '709')]","[('23', 'Tackles', '18')]","[('14', 'Interceptions', '13')]","[('15', 'Aerials Won', '12')]","[('18', 'Clearances', '19')]","[('2', 'Offsides', '3')]","[('7', 'Goal Kicks', '2')]","[('17', 'Throw Ins', '27')]","[('56', 'Long Balls', '47')]"
"[('12', 'Fouls', '17')]","[('3', 'Corners', '1')]","[('22', 'Crosses', '10')]","[('709', 'Touches', '688')]","[('17', 'Tackles', '23')]","[('21', 'Interceptions', '11')]","[('8', 'Aerials Won', '11')]","[('10', 'Clearances', '31')]","[('2', 'Offsides', '1')]","[('5', 'Goal Kicks', '6')]","[('21', 'Throw Ins', '17')]","[('44', 'Long Balls', '45')]"
"[('17', 'Fouls', '13')]","[('5', 'Corners', '2')]","[('32', 'Crosses', '8')]","[('736', 'Touches', '579')]","[('8', 'Tackles', '11')]","[('15', 'Interceptions', '10')]","[('9', 'Aerials Won', '11')]","[('7', 'Clearances', '31')]","[('2', 'Offsides', '3')]","[('7', 'Goal Kicks', '11')]","[('26', 'Throw Ins', '11')]","[('43', 'Long Balls', '65')]"
