,HT,Score,AT,attendance,referee,HomeGoals,AwayGoals,match_report_link,Home_Poss,Away_Poss,Home_PA,Away_PA,Home_ShoT,Away_ShoT,Home_Saves,Away_Saves
369,Palmeiras,2–0,Botafogo (RJ),"23,562",Elmo Alves Resende Cunha,2,0,"https://fbref.com/en/matches/b33d1397/Palmeiras-Botafogo-RJ-November-27-2017-Serie-A"">Match Report",63%,37%,83%,73%,55%,29%,100%,66%
370,Vitória,1–2,Flamengo,"29,008",Dewson Fernando Freitas da Silva,1,2,"https://fbref.com/en/matches/180c6f08/Vitoria-Flamengo-December-3-2017-Serie-A"">Match Report",44%,56%,79%,85%,22%,25%,33%,75%
371,Sport Recife,1–0,Corinthians,"29,977",Ricardo Marques Ribeiro,1,0,"https://fbref.com/en/matches/e74a1597/Sport-Recife-Corinthians-December-3-2017-Serie-A"">Match Report",48%,53%,78%,81%,44%,50%,100%,75%
372,Vasco da Gama,2–1,Ponte Preta,"22,076",Rafael Traci,2,1,"https://fbref.com/en/matches/3decaeaf/Vasco-da-Gama-Ponte-Preta-December-3-2017-Serie-A"">Match Report",50%,50%,75%,77%,57%,10%,0%,75%
373,Santos,1–1,Avaí,"7,639",Wagner do Nascimento Magalhaes,1,1,"https://fbref.com/en/matches/b275b424/Santos-Avai-December-3-2017-Serie-A"">Match Report",56%,44%,90%,84%,25%,29%,75%,80%
374,Atl Paranaense,3–0,Palmeiras,"12,879",Claudio Francisco Lima e Silva,3,0,"https://fbref.com/en/matches/5131f795/Atletico-Paranaense-Palmeiras-December-3-2017-Serie-A"">Match Report",35%,65%,80%,92%,60%,6%,100%,50%
375,Atlético Mineiro,4–3,Grêmio,"19,116",Marcelo Aparecido Ribeiro De Souza,4,3,"https://fbref.com/en/matches/e25bb77d/Atletico-Mineiro-Gremio-December-3-2017-Serie-A"">Match Report",63%,37%,83%,73%,41%,56%,40%,44%
376,São Paulo,1–1,Bahia,"60,485",Elmo Alves Resende Cunha,1,1,"https://fbref.com/en/matches/d6761bbc/Sao-Paulo-Bahia-December-3-2017-Serie-A"">Match Report",60%,41%,84%,73%,23%,33%,66%,66%
377,Botafogo (RJ),2–2,Cruzeiro,"20,636",Leandro Bizzio Marinho,2,2,"https://fbref.com/en/matches/29c43a7f/Botafogo-RJ-Cruzeiro-December-3-2017-Serie-A"">Match Report",44%,56%,80%,82%,50%,25%,0%,57%
378,Chapecoense,2–1,Coritiba,"12,913",Luiz Flavio De Oliveira,2,1,"https://fbref.com/en/matches/a84f44b6/Chapecoense-Coritiba-December-3-2017-Serie-A"">Match Report",48%,52%,77%,80%,57%,31%,75%,75%
379,Atl Goianiense,1–1,Fluminense,"2,996",Anderson Daronco,1,1,"https://fbref.com/en/matches/341d4663/Atletico-Goianiense-Fluminense-December-3-2017-Serie-A"">Match Report",38%,62%,78%,90%,36%,53%,77%,75%
380,Cruzeiro,0–1,Grêmio,"19,285",Rodolpho Toski Marques,0,1,"https://fbref.com/en/matches/20cc2647/Cruzeiro-Gremio-April-14-2018-Serie-A"">Match Report",41%,59%,82%,86%,17%,33%,50%,100%
381,Vitória,2–2,Flamengo,"12,669",Wagner Reway,2,2,"https://fbref.com/en/matches/40419a88/Vitoria-Flamengo-April-14-2018-Serie-A"">Match Report",66%,34%,89%,72%,29%,50%,60%,50%
382,Santos,2–0,Ceará,"15,513",Rodrigo D'Alonso Ferreira,2,0,"https://fbref.com/en/matches/52879269/Santos-Ceara-April-14-2018-Serie-A"">Match Report",53%,47%,90%,86%,14%,20%,100%,66%
383,América (MG),3–0,Sport Recife,"8,304",Savio Pereira,3,0,"https://fbref.com/en/matches/46ffb2ca/America-MG-Sport-Recife-April-15-2018-Serie-A"">Match Report",39%,61%,77%,85%,31%,33%,100%,25%
384,Vasco da Gama,2–1,Atlético Mineiro,"7,197",André Luiz de Freitas Castro,2,1,"https://fbref.com/en/matches/5d2e0f8b/Vasco-da-Gama-Atletico-Mineiro-April-15-2018-Serie-A"">Match Report",66%,34%,89%,80%,37%,55%,83%,85%
385,Internacional,2–0,Bahia,"16,663",Eduardo Tomaz De Aquino Valadão,2,0,"https://fbref.com/en/matches/86cd2068/Internacional-Bahia-April-15-2018-Serie-A"">Match Report",45%,55%,75%,83%,31%,17%,100%,50%
386,Corinthians,2–1,Fluminense,"28,777",Anderson Daronco,2,1,"https://fbref.com/en/matches/dbaca8bd/Corinthians-Fluminense-April-15-2018-Serie-A"">Match Report",65%,35%,84%,74%,18%,23%,66%,0%
387,Atl Paranaense,5–1,Chapecoense,"8,395",Dewson Fernando Freitas da Silva,5,1,"https://fbref.com/en/matches/75606231/Atletico-Paranaense-Chapecoense-April-15-2018-Serie-A"">Match Report",70%,31%,92%,76%,44%,6%,100%,37%
388,São Paulo,1–0,Paraná,"11,327",Braulio da Silva Machado,1,0,"https://fbref.com/en/matches/23d64031/Sao-Paulo-Parana-April-16-2018-Serie-A"">Match Report",51%,49%,87%,84%,60%,14%,100%,66%
389,Botafogo (RJ),1–1,Palmeiras,"8,033",Ricardo Marques Ribeiro,1,1,"https://fbref.com/en/matches/00f51fae/Botafogo-RJ-Palmeiras-April-16-2018-Serie-A"">Match Report",46%,54%,80%,82%,23%,57%,75%,66%
390,Bahia,1–0,Santos,"15,588",Claudio Francisco Lima e Silva,1,0,"https://fbref.com/en/matches/440a1b59/Bahia-Santos-April-21-2018-Serie-A"">Match Report",54%,46%,84%,83%,42%,29%,100%,80%
391,Flamengo,2–0,América (MG),"52,106",Leandro Bizzio Marinho,2,0,"https://fbref.com/en/matches/dbbcb092/Flamengo-America-MG-April-21-2018-Serie-A"">Match Report",50%,51%,83%,80%,36%,28%,100%,60%
392,Paraná,0–4,Corinthians,"15,714",Péricles Bassols Pegado Cortez,0,4,"https://fbref.com/en/matches/9981017a/Parana-Corinthians-April-22-2018-Serie-A"">Match Report",48%,52%,84%,82%,35%,50%,0%,100%
393,Atlético Mineiro,2–1,Vitória,"10,423",Grazianni Maciel Rocha,2,1,"https://fbref.com/en/matches/1cc64ac0/Atletico-Mineiro-Vitoria-April-22-2018-Serie-A"">Match Report",60%,40%,87%,78%,45%,30%,100%,60%
394,Ceará,0–0,São Paulo,"30,186",Paulo Roberto Alves Júnior,0,0,"https://fbref.com/en/matches/9dabd9a6/Ceara-Sao-Paulo-April-22-2018-Serie-A"">Match Report",51%,49%,86%,86%,21%,27%,100%,100%
395,Palmeiras,1–0,Internacional,"25,504",Marcelo de Lima Henrique,1,0,"https://fbref.com/en/matches/dd1a5ca2/Palmeiras-Internacional-April-22-2018-Serie-A"">Match Report",45%,55%,79%,81%,15%,38%,66%,50%
396,Fluminense,1–0,Cruzeiro,"10,016",Flavio Rodrigues De Souza,1,0,"https://fbref.com/en/matches/94d06a3e/Fluminense-Cruzeiro-April-22-2018-Serie-A"">Match Report",33%,67%,68%,85%,33%,38%,83%,0%
397,Chapecoense,1–1,Vasco da Gama,"8,675",Luiz Flávio de Oliveira,1,1,"https://fbref.com/en/matches/d5e65692/Chapecoense-Vasco-da-Gama-April-22-2018-Serie-A"">Match Report",35%,65%,75%,84%,20%,31%,60%,50%
398,Grêmio,0–0,Atl Paranaense,"22,049",Raphael Claus,0,0,"https://fbref.com/en/matches/4b88cfa1/Gremio-Atletico-Paranaense-April-22-2018-Serie-A"">Match Report",49%,51%,86%,86%,27%,14%,100%,100%
399,Sport Recife,1–1,Botafogo (RJ),"7,083",Rafael Traci,1,1,"https://fbref.com/en/matches/696440bd/Sport-Recife-Botafogo-RJ-April-23-2018-Serie-A"">Match Report",51%,49%,79%,79%,50%,10%,0%,100%
400,Botafogo (RJ),2–1,Grêmio,"10,748",Vinicius Gonçalves Dias Araujo,2,1,"https://fbref.com/en/matches/1f161f05/Botafogo-RJ-Gremio-April-28-2018-Serie-A"">Match Report",55%,45%,87%,81%,32%,33%,33%,66%
401,Paraná,1–2,Sport Recife,"7,604",Daniel Nobre Bins,1,2,"https://fbref.com/en/matches/976af325/Parana-Sport-Recife-April-29-2018-Serie-A"">Match Report",70%,30%,86%,63%,41%,30%,33%,91%
402,Bahia,0–0,Atl Paranaense,"16,235",Ricardo Marques Ribeiro,0,0,"https://fbref.com/en/matches/d5844463/Bahia-Atletico-Paranaense-April-29-2018-Serie-A"">Match Report",35%,65%,84%,89%,30%,22%,50%,100%
403,Atlético Mineiro,1–0,Corinthians,"19,825",Dewson Fernando Freitas da Silva,1,0,"https://fbref.com/en/matches/d4b4bb31/Atletico-Mineiro-Corinthians-April-29-2018-Serie-A"">Match Report",58%,42%,88%,80%,24%,25%,100%,75%
404,Fluminense,1–1,São Paulo,"19,237",Rodolpho Toski Marques,1,1,"https://fbref.com/en/matches/8c5fe142/Fluminense-Sao-Paulo-April-29-2018-Serie-A"">Match Report",54%,46%,81%,75%,17%,21%,66%,50%
405,Palmeiras,0–0,Chapecoense,"30,871",Igor Junior Benevenuto,0,0,"https://fbref.com/en/matches/901c4f6a/Palmeiras-Chapecoense-April-29-2018-Serie-A"">Match Report",71%,29%,86%,73%,25%,0%,%,100%
406,Ceará,0–3,Flamengo,"52,962",Anderson Daronco,0,3,"https://fbref.com/en/matches/c96bf9ba/Ceara-Flamengo-April-29-2018-Serie-A"">Match Report",48%,52%,89%,88%,13%,39%,57%,100%
407,Internacional,0–0,Cruzeiro,"20,913",Wagner do Nascimento Magalhaes,0,0,"https://fbref.com/en/matches/fa2b4d87/Internacional-Cruzeiro-April-29-2018-Serie-A"">Match Report",58%,42%,85%,77%,27%,0%,%,100%
408,América (MG),2–1,Vitória,"9,453",Vinicius Furlan,2,1,"https://fbref.com/en/matches/9e0dd496/America-MG-Vitoria-April-30-2018-Serie-A"">Match Report",41%,59%,69%,80%,53%,36%,80%,75%
409,Vasco da Gama,4–1,América (MG),"3,683",Flavio Rodrigues De Souza,4,1,"https://fbref.com/en/matches/5330be03/Vasco-da-Gama-America-MG-May-5-2018-Serie-A"">Match Report",66%,34%,86%,71%,39%,25%,0%,42%
410,São Paulo,2–2,Atlético Mineiro,"31,976",Rafael Traci,2,2,"https://fbref.com/en/matches/30b3375d/Sao-Paulo-Atletico-Mineiro-May-5-2018-Serie-A"">Match Report",38%,62%,78%,87%,29%,56%,60%,0%
411,Corinthians,1–1,Ceará,"40,350",Savio Pereira,1,1,"https://fbref.com/en/matches/2e16768b/Corinthians-Ceara-May-6-2018-Serie-A"">Match Report",62%,38%,90%,83%,29%,75%,66%,75%
412,Flamengo,2–0,Internacional,"60,182",Luiz Flávio de Oliveira,2,0,"https://fbref.com/en/matches/bf92df7c/Flamengo-Internacional-May-6-2018-Serie-A"">Match Report",57%,43%,88%,82%,39%,42%,100%,71%
413,Vitória,1–2,Fluminense,"6,652",Rodrigo D'Alonso Ferreira,1,2,"https://fbref.com/en/matches/0c4869e0/Vitoria-Fluminense-May-6-2018-Serie-A"">Match Report",35%,65%,73%,85%,14%,22%,50%,0%
414,Cruzeiro,1–0,Botafogo (RJ),"20,908",Leandro Bizzio Marinho,1,0,"https://fbref.com/en/matches/65aadbfa/Cruzeiro-Botafogo-RJ-May-6-2018-Serie-A"">Match Report",52%,48%,83%,81%,27%,14%,100%,83%
415,Atl Paranaense,1–3,Palmeiras,"19,077",Claudio Francisco Lima e Silva,1,3,"https://fbref.com/en/matches/9e8261a3/Atletico-Paranaense-Palmeiras-May-6-2018-Serie-A"">Match Report",62%,38%,89%,77%,50%,40%,50%,75%
416,Sport Recife,2–0,Bahia,"15,165",Grazianni Maciel Rocha,2,0,"https://fbref.com/en/matches/0aa53328/Sport-Recife-Bahia-May-6-2018-Serie-A"">Match Report",47%,53%,77%,78%,45%,14%,100%,88%
417,Grêmio,5–1,Santos,"25,779",Péricles Bassols Pegado Cortez,5,1,"https://fbref.com/en/matches/ec8dd225/Gremio-Santos-May-6-2018-Serie-A"">Match Report",64%,36%,90%,84%,44%,25%,50%,37%
418,Chapecoense,1–1,Paraná,"7,838",Raphael Claus,1,1,"https://fbref.com/en/matches/d25daae3/Chapecoense-Parana-May-7-2018-Serie-A"">Match Report",53%,48%,75%,72%,15%,17%,66%,50%
419,Grêmio,0–0,Internacional,"48,035",Wilton Sampaio,0,0,"https://fbref.com/en/matches/76a46ad4/Gremio-Internacional-May-12-2018-Serie-A"">Match Report",77%,23%,89%,65%,17%,20%,100%,50%
420,Cruzeiro,2–0,Sport Recife,"20,095",Bruno Arleu de Araujo,2,0,"https://fbref.com/en/matches/290980b5/Cruzeiro-Sport-Recife-May-13-2018-Serie-A"">Match Report",56%,44%,86%,83%,33%,50%,80%,60%
421,Chapecoense,3–2,Flamengo,"10,931",Leandro Pedro Vuaden,3,2,"https://fbref.com/en/matches/a774db71/Chapecoense-Flamengo-May-13-2018-Serie-A"">Match Report",43%,57%,79%,82%,27%,29%,50%,0%
422,Corinthians,1–0,Palmeiras,"34,967",Anderson Daronco,1,0,"https://fbref.com/en/matches/7e06e795/Corinthians-Palmeiras-May-13-2018-Serie-A"">Match Report",53%,47%,81%,75%,50%,40%,100%,66%
423,Atl Paranaense,1–2,Atlético Mineiro,"7,505",Luiz Flávio de Oliveira,1,2,"https://fbref.com/en/matches/26b2b640/Atletico-Paranaense-Atletico-Mineiro-May-13-2018-Serie-A"">Match Report",62%,38%,88%,79%,44%,48%,81%,87%
424,Bahia,2–2,São Paulo,"20,847",Dewson Fernando Freitas da Silva,2,2,"https://fbref.com/en/matches/fbb24194/Bahia-Sao-Paulo-May-13-2018-Serie-A"">Match Report",48%,52%,78%,77%,45%,56%,20%,60%
425,Vasco da Gama,2–3,Vitória,"3,542",Jean Pierre Goncalves Lima,2,3,"https://fbref.com/en/matches/a8e0cd2c/Vasco-da-Gama-Vitoria-May-13-2018-Serie-A"">Match Report",62%,38%,81%,69%,35%,33%,33%,71%
426,Santos,3–1,Paraná,"3,971",Wagner Reway,3,1,"https://fbref.com/en/matches/7c127021/Santos-Parana-May-13-2018-Serie-A"">Match Report",57%,43%,88%,86%,50%,29%,75%,40%
427,Ceará,2–2,América (MG),"14,914",Eduardo Tomaz De Aquino Valadão,2,2,"https://fbref.com/en/matches/5951a43a/Ceara-America-MG-May-14-2018-Serie-A"">Match Report",65%,35%,85%,70%,38%,36%,50%,77%
428,Botafogo (RJ),2–1,Fluminense,"10,382",Raphael Claus,2,1,"https://fbref.com/en/matches/dbf91f01/Botafogo-RJ-Fluminense-May-14-2018-Serie-A"">Match Report",41%,59%,78%,85%,63%,43%,88%,60%
429,Atlético Mineiro,1–0,Cruzeiro,"15,384",Raphael Claus,1,0,"https://fbref.com/en/matches/e34e9bd3/Atletico-Mineiro-Cruzeiro-May-19-2018-Serie-A"">Match Report",68%,32%,87%,75%,28%,18%,100%,80%
430,Flamengo,1–1,Vasco da Gama,"35,208",Ricardo Marques Ribeiro,1,1,"https://fbref.com/en/matches/d06c65ca/Classico-dos-Milhoes-Flamengo-Vasco-da-Gama-May-19-2018-Serie-A"">Match Report",61%,40%,83%,77%,30%,54%,85%,66%
431,Palmeiras,3–0,Bahia,"26,351",Rafael Traci,3,0,"https://fbref.com/en/matches/025ff188/Palmeiras-Bahia-May-19-2018-Serie-A"">Match Report",53%,47%,81%,80%,43%,29%,100%,50%
432,Vitória,2–1,Ceará,"8,371",Marcelo de Lima Henrique,2,1,"https://fbref.com/en/matches/e6abc68f/Vitoria-Ceara-May-20-2018-Serie-A"">Match Report",42%,58%,78%,84%,21%,40%,83%,33%
433,São Paulo,1–0,Santos,"40,565",Braulio da Silva Machado,1,0,"https://fbref.com/en/matches/c8cd153f/Sao-Paulo-Santos-May-20-2018-Serie-A"">Match Report",39%,61%,75%,82%,7%,14%,100%,0%
434,América (MG),1–0,Botafogo (RJ),"6,052",Rodolpho Toski Marques,1,0,"https://fbref.com/en/matches/666b8f13/America-MG-Botafogo-RJ-May-20-2018-Serie-A"">Match Report",43%,57%,81%,86%,15%,11%,100%,50%
435,Sport Recife,1–1,Corinthians,"28,942",Wilton Sampaio,1,1,"https://fbref.com/en/matches/f0b02dc2/Sport-Recife-Corinthians-May-20-2018-Serie-A"">Match Report",44%,56%,85%,88%,36%,40%,50%,80%
436,Paraná,0–0,Grêmio,"7,776",Rodrigo Batista Raposo,0,0,"https://fbref.com/en/matches/91827ab5/Parana-Gremio-May-20-2018-Serie-A"">Match Report",26%,74%,71%,90%,0%,38%,66%,%
437,Fluminense,2–0,Atl Paranaense,"9,172",Igor Junior Benevenuto,2,0,"https://fbref.com/en/matches/bf58a6b1/Fluminense-Atletico-Paranaense-May-20-2018-Serie-A"">Match Report",32%,68%,75%,88%,46%,17%,100%,83%
438,Internacional,3–0,Chapecoense,"13,082",Flavio Rodrigues De Souza,3,0,"https://fbref.com/en/matches/6b8b3409/Internacional-Chapecoense-May-21-2018-Serie-A"">Match Report",49%,51%,83%,81%,23%,20%,100%,33%
439,Fluminense,3–1,Chapecoense,"14,541",Rafael Traci,3,1,"https://fbref.com/en/matches/455c7d92/Fluminense-Chapecoense-May-26-2018-Serie-A"">Match Report",45%,55%,81%,83%,50%,31%,80%,40%
440,Palmeiras,2–3,Sport Recife,"25,947",Dewson Fernando Freitas da Silva,2,3,"https://fbref.com/en/matches/da619007/Palmeiras-Sport-Recife-May-26-2018-Serie-A"">Match Report",61%,39%,79%,71%,33%,46%,50%,60%
441,Atlético Mineiro,0–1,Flamengo,"15,797",Anderson Daronco,0,1,"https://fbref.com/en/matches/f952258d/Atletico-Mineiro-Flamengo-May-26-2018-Serie-A"">Match Report",67%,33%,87%,78%,17%,57%,75%,100%
442,Paraná,0–0,Atl Paranaense,"6,446",Vinicius Gonçalves Dias Araujo,0,0,"https://fbref.com/en/matches/899afb55/Parana-Atletico-Paranaense-May-27-2018-Serie-A"">Match Report",32%,68%,79%,90%,13%,17%,100%,100%
443,Santos,0–1,Cruzeiro,"10,670",Paulo Roberto Alves Júnior,0,1,"https://fbref.com/en/matches/66118243/Santos-Cruzeiro-May-27-2018-Serie-A"">Match Report",55%,45%,84%,83%,38%,24%,75%,100%
444,Botafogo (RJ),1–1,Vitória,"5,857",Flavio Rodrigues De Souza,1,1,"https://fbref.com/en/matches/0dd1adeb/Botafogo-RJ-Vitoria-May-27-2018-Serie-A"">Match Report",58%,42%,81%,73%,38%,17%,0%,66%
445,Bahia,3–0,Vasco da Gama,"15,031",Rodolpho Toski Marques,3,0,"https://fbref.com/en/matches/1ecb3641/Bahia-Vasco-da-Gama-May-27-2018-Serie-A"">Match Report",51%,49%,83%,79%,43%,17%,100%,50%
446,Internacional,2–1,Corinthians,"28,627",Péricles Bassols Pegado Cortez,2,1,"https://fbref.com/en/matches/9c0d96dc/Internacional-Corinthians-May-27-2018-Serie-A"">Match Report",55%,45%,88%,81%,37%,50%,50%,57%
447,América (MG),1–3,São Paulo,"4,360",Bruno Arleu de Araujo,1,3,"https://fbref.com/en/matches/ee68fa90/America-MG-Sao-Paulo-May-27-2018-Serie-A"">Match Report",55%,45%,81%,74%,33%,50%,50%,75%
448,Ceará,0–1,Grêmio,"14,995",Wagner Reway,0,1,"https://fbref.com/en/matches/7e2badc7/Ceara-Gremio-May-27-2018-Serie-A"">Match Report",40%,60%,83%,89%,9%,45%,80%,100%
449,Vasco da Gama,1–0,Paraná,"4,584",Leandro Pedro Vuaden,1,0,"https://fbref.com/en/matches/3a0a4131/Vasco-da-Gama-Parana-May-30-2018-Serie-A"">Match Report",50%,50%,78%,80%,33%,20%,100%,75%
450,Vitória,2–3,Internacional,"5,591",Raphael Claus,2,3,"https://fbref.com/en/matches/cae9916a/Vitoria-Internacional-May-30-2018-Serie-A"">Match Report",23%,77%,77%,79%,29%,27%,33%,100%
451,Sport Recife,3–2,Atlético Mineiro,"15,605",Wagner do Nascimento Magalhaes,3,2,"https://fbref.com/en/matches/a7337fcb/Sport-Recife-Atletico-Mineiro-May-30-2018-Serie-A"">Match Report",41%,60%,82%,87%,40%,54%,71%,50%
452,São Paulo,3–2,Botafogo (RJ),"25,427",Wilton Sampaio,3,2,"https://fbref.com/en/matches/3be4e627/Sao-Paulo-Botafogo-RJ-May-30-2018-Serie-A"">Match Report",41%,59%,73%,82%,47%,27%,33%,57%
453,Chapecoense,2–0,Ceará,"7,015",Igor Junior Benevenuto,2,0,"https://fbref.com/en/matches/62371b61/Chapecoense-Ceara-May-30-2018-Serie-A"">Match Report",47%,53%,80%,80%,25%,20%,100%,60%
454,Cruzeiro,1–0,Palmeiras,"19,679",Braulio da Silva Machado,1,0,"https://fbref.com/en/matches/64f00de2/Cruzeiro-Palmeiras-May-30-2018-Serie-A"">Match Report",51%,49%,79%,81%,13%,67%,100%,0%
455,Grêmio,0–0,Fluminense,"18,149",Luiz Flávio de Oliveira,0,0,"https://fbref.com/en/matches/bd491953/Gremio-Fluminense-May-30-2018-Serie-A"">Match Report",69%,31%,89%,67%,30%,50%,100%,100%
456,Flamengo,2–0,Bahia,"55,382",Jean Pierre Goncalves Lima,2,0,"https://fbref.com/en/matches/69593bac/Flamengo-Bahia-May-31-2018-Serie-A"">Match Report",56%,44%,86%,86%,38%,41%,100%,66%
457,Corinthians,1–0,América (MG),"34,921",Grazianni Maciel Rocha,1,0,"https://fbref.com/en/matches/06294460/Corinthians-America-MG-May-31-2018-Serie-A"">Match Report",60%,40%,89%,80%,25%,46%,100%,66%
458,Atl Paranaense,2–0,Santos,"8,204",Savio Pereira,2,0,"https://fbref.com/en/matches/05ccda3f/Atletico-Paranaense-Santos-May-31-2018-Serie-A"">Match Report",42%,58%,83%,89%,53%,18%,100%,77%
459,Atlético Mineiro,3–3,Chapecoense,"10,298",Bruno Arleu de Araujo,3,3,"https://fbref.com/en/matches/0340343f/Atletico-Mineiro-Chapecoense-June-2-2018-Serie-A"">Match Report",72%,28%,88%,73%,23%,43%,0%,40%
460,Internacional,0–0,Sport Recife,"28,320",Marcelo Aparecido Ribeiro De Souza,0,0,"https://fbref.com/en/matches/7c0e77d5/Internacional-Sport-Recife-June-2-2018-Serie-A"">Match Report",55%,45%,75%,74%,16%,27%,100%,100%
461,Vasco da Gama,1–2,Botafogo (RJ),"9,454",Raphael Claus,1,2,"https://fbref.com/en/matches/5c20f94f/Vasco-da-Gama-Botafogo-RJ-June-2-2018-Serie-A"">Match Report",73%,27%,87%,67%,31%,46%,66%,75%
462,Palmeiras,3–1,São Paulo,"32,841",Rodolpho Toski Marques,3,1,"https://fbref.com/en/matches/9ea8a1d6/Palmeiras-Sao-Paulo-June-2-2018-Serie-A"">Match Report",49%,51%,78%,77%,38%,44%,75%,0%
463,América (MG),3–1,Atl Paranaense,"4,679",Rodrigo Batista Raposo,3,1,"https://fbref.com/en/matches/b992dff7/America-MG-Atletico-Paranaense-June-3-2018-Serie-A"">Match Report",43%,58%,79%,83%,33%,29%,50%,57%
464,Bahia,0–2,Grêmio,"15,623",Péricles Bassols Pegado Cortez,0,2,"https://fbref.com/en/matches/1463a38c/Bahia-Gremio-June-3-2018-Serie-A"">Match Report",57%,43%,82%,79%,13%,40%,50%,100%
465,Santos,5–2,Vitória,"3,887",Rodrigo D'Alonso Ferreira,5,2,"https://fbref.com/en/matches/af6881e7/Santos-Vitoria-June-3-2018-Serie-A"">Match Report",57%,43%,88%,83%,48%,40%,66%,50%
466,Flamengo,1–0,Corinthians,"49,222",Anderson Daronco,1,0,"https://fbref.com/en/matches/8002604d/Flamengo-Corinthians-June-3-2018-Serie-A"">Match Report",53%,47%,88%,86%,28%,13%,100%,60%
467,Ceará,0–1,Cruzeiro,"15,234",Rodrigo Carvalhaes de Miranda,0,1,"https://fbref.com/en/matches/93a46ddf/Ceara-Cruzeiro-June-3-2018-Serie-A"">Match Report",43%,57%,84%,89%,44%,54%,85%,100%
468,Paraná,2–1,Fluminense,"3,491",Leandro Bizzio Marinho,2,1,"https://fbref.com/en/matches/ee85e473/Parana-Fluminense-June-4-2018-Serie-A"">Match Report",40%,60%,76%,84%,42%,38%,60%,60%
469,São Paulo,0–0,Internacional,"14,730",Paulo Roberto Alves Júnior,0,0,"https://fbref.com/en/matches/042c5b42/Sao-Paulo-Internacional-June-5-2018-Serie-A"">Match Report",48%,52%,77%,78%,44%,23%,100%,75%
470,Botafogo (RJ),0–0,Ceará,"8,825",Leandro Pedro Vuaden,0,0,"https://fbref.com/en/matches/8acd5a0b/Botafogo-RJ-Ceara-June-6-2018-Serie-A"">Match Report",56%,44%,85%,80%,22%,29%,100%,100%
471,Vitória,1–0,Chapecoense,"5,256",Dyorgines José Padovani Andrade,1,0,"https://fbref.com/en/matches/fe842863/Vitoria-Chapecoense-June-6-2018-Serie-A"">Match Report",47%,53%,74%,77%,43%,27%,100%,83%
472,Corinthians,1–1,Santos,"27,586",Ricardo Marques Ribeiro,1,1,"https://fbref.com/en/matches/4bf429f1/Corinthians-Santos-June-6-2018-Serie-A"">Match Report",51%,49%,88%,85%,29%,33%,83%,75%
473,Sport Recife,1–0,Atl Paranaense,"13,349",Igor Junior Benevenuto,1,0,"https://fbref.com/en/matches/91408df7/Sport-Recife-Atletico-Paranaense-June-6-2018-Serie-A"">Match Report",33%,67%,79%,87%,27%,40%,75%,66%
474,Cruzeiro,1–1,Vasco da Gama,"23,725",Luiz Flávio de Oliveira,1,1,"https://fbref.com/en/matches/36eb3d90/Cruzeiro-Vasco-da-Gama-June-6-2018-Serie-A"">Match Report",66%,34%,85%,67%,19%,60%,66%,75%
475,Grêmio,0–2,Palmeiras,"26,556",Rafael Traci,0,2,"https://fbref.com/en/matches/e0e8176c/Gremio-Palmeiras-June-6-2018-Serie-A"">Match Report",52%,48%,83%,82%,36%,33%,33%,100%
476,Paraná,1–0,Bahia,"4,153",Marcelo de Lima Henrique,1,0,"https://fbref.com/en/matches/784f7a05/Parana-Bahia-June-7-2018-Serie-A"">Match Report",47%,53%,76%,82%,17%,30%,100%,50%
477,Fluminense,0–2,Flamengo,"60,000",Dewson Fernando Freitas da Silva,0,2,"https://fbref.com/en/matches/864b6d48/Fluminense-Flamengo-June-7-2018-Serie-A"">Match Report",52%,48%,86%,83%,27%,89%,75%,100%
478,América (MG),1–3,Atlético Mineiro,"7,776",Braulio da Silva Machado,1,3,"https://fbref.com/en/matches/a4eac953/America-MG-Atletico-Mineiro-June-7-2018-Serie-A"">Match Report",47%,53%,82%,84%,17%,33%,25%,66%
479,Atl Paranaense,0–1,São Paulo,"8,257",Anderson Daronco,0,1,"https://fbref.com/en/matches/74ad81cb/Atletico-Paranaense-Sao-Paulo-June-9-2018-Serie-A"">Match Report",62%,38%,86%,79%,36%,33%,66%,100%
480,Vasco da Gama,3–2,Sport Recife,"8,418",Savio Pereira,3,2,"https://fbref.com/en/matches/bddfb303/Vasco-da-Gama-Sport-Recife-June-9-2018-Serie-A"">Match Report",41%,59%,79%,84%,54%,15%,50%,57%
481,Chapecoense,2–0,Cruzeiro,"6,637",Grazianni Maciel Rocha,2,0,"https://fbref.com/en/matches/61f8d550/Chapecoense-Cruzeiro-June-9-2018-Serie-A"">Match Report",50%,50%,74%,81%,0%,20%,100%,%
482,Corinthians,0–0,Vitória,"27,744",Péricles Bassols Pegado Cortez,0,0,"https://fbref.com/en/matches/0daef818/Corinthians-Vitoria-June-9-2018-Serie-A"">Match Report",63%,37%,83%,76%,11%,23%,100%,100%
483,Grêmio,1–0,América (MG),"12,953",Rodrigo D'Alonso Ferreira,1,0,"https://fbref.com/en/matches/2cd7a171/Gremio-America-MG-June-10-2018-Serie-A"">Match Report",62%,38%,87%,78%,31%,30%,100%,75%
484,Atlético Mineiro,5–2,Fluminense,"14,476",Flavio Rodrigues De Souza,5,2,"https://fbref.com/en/matches/3cf79b5d/Atletico-Mineiro-Fluminense-June-10-2018-Serie-A"">Match Report",50%,50%,89%,87%,56%,27%,50%,44%
