match_report_link,HomeFouls,HomeCorners,HomeCrosses,HomeTouches,HomeTackles,HomeInterceptions,HomeAerials,HomeClearances,HomeOffsides,HomeGoalKicks,HomeThrowIns,HomeLongBalls,AwayFouls,AwayCorners,AwayCrosses,AwayTouches,AwayTackles,AwayInterceptions,AwayAerials,AwayClearances,AwayOffsides,AwayGoalKicks,AwayThrowIns,AwayLongBalls
"https://fbref.com/en/matches/8407b34a/Sport-Recife-Santos-October-19-2017-Serie-A"">Match Report","[('17', 'Fouls', '23')]","[('11', 'Corners', '1')]","[('55', 'Crosses', '8')]","[('594', 'Touches', '586')]","[('12', 'Tackles', '17')]","[('7', 'Interceptions', '7')]","[('11', 'Aerials Won', '13')]","[('4', 'Clearances', '50')]","[('3', 'Offsides', '2')]","[('6', 'Goal Kicks', '14')]","[('21', 'Throw Ins', '10')]","[('39', 'Long Balls', '56')]","[('17', 'Fouls', '23')]","[('11', 'Corners', '1')]","[('55', 'Crosses', '8')]","[('594', 'Touches', '586')]","[('12', 'Tackles', '17')]","[('7', 'Interceptions', '7')]","[('11', 'Aerials Won', '13')]","[('4', 'Clearances', '50')]","[('3', 'Offsides', '2')]","[('6', 'Goal Kicks', '14')]","[('21', 'Throw Ins', '10')]","[('39', 'Long Balls', '56')]"
"https://fbref.com/en/matches/fb000773/Bahia-Vitoria-October-22-2017-Serie-A"">Match Report","[('12', 'Fouls', '17')]","[('5', 'Corners', '2')]","[('20', 'Crosses', '11')]","[('623', 'Touches', '566')]","[('20', 'Tackles', '27')]","[('16', 'Interceptions', '21')]","[('20', 'Aerials Won', '18')]","[('27', 'Clearances', '16')]","[('1', 'Offsides', '0')]","[('9', 'Goal Kicks', '4')]","[('21', 'Throw Ins', '27')]","[('56', 'Long Balls', '65')]","[('12', 'Fouls', '17')]","[('5', 'Corners', '2')]","[('20', 'Crosses', '11')]","[('623', 'Touches', '566')]","[('20', 'Tackles', '27')]","[('16', 'Interceptions', '21')]","[('20', 'Aerials Won', '18')]","[('27', 'Clearances', '16')]","[('1', 'Offsides', '0')]","[('9', 'Goal Kicks', '4')]","[('21', 'Throw Ins', '27')]","[('56', 'Long Balls', '65')]"
"https://fbref.com/en/matches/6739e7a2/Santos-Atletico-Goianiense-October-22-2017-Serie-A"">Match Report","[('15', 'Fouls', '14')]","[('10', 'Corners', '2')]","[('35', 'Crosses', '21')]","[('749', 'Touches', '621')]","[('18', 'Tackles', '14')]","[('15', 'Interceptions', '14')]","[('19', 'Aerials Won', '12')]","[('29', 'Clearances', '27')]","[('4', 'Offsides', '3')]","[('8', 'Goal Kicks', '9')]","[('17', 'Throw Ins', '19')]","[('40', 'Long Balls', '38')]","[('15', 'Fouls', '14')]","[('10', 'Corners', '2')]","[('35', 'Crosses', '21')]","[('749', 'Touches', '621')]","[('18', 'Tackles', '14')]","[('15', 'Interceptions', '14')]","[('19', 'Aerials Won', '12')]","[('29', 'Clearances', '27')]","[('4', 'Offsides', '3')]","[('8', 'Goal Kicks', '9')]","[('17', 'Throw Ins', '19')]","[('40', 'Long Balls', '38')]"
"https://fbref.com/en/matches/61b521f8/Chapecoense-Fluminense-October-22-2017-Serie-A"">Match Report","[('22', 'Fouls', '12')]","[('4', 'Corners', '3')]","[('17', 'Crosses', '16')]","[('455', 'Touches', '789')]","[('14', 'Tackles', '12')]","[('13', 'Interceptions', '13')]","[('13', 'Aerials Won', '13')]","[('25', 'Clearances', '16')]","[('2', 'Offsides', '1')]","[('9', 'Goal Kicks', '8')]","[('17', 'Throw Ins', '28')]","[('48', 'Long Balls', '67')]","[('22', 'Fouls', '12')]","[('4', 'Corners', '3')]","[('17', 'Crosses', '16')]","[('455', 'Touches', '789')]","[('14', 'Tackles', '12')]","[('13', 'Interceptions', '13')]","[('13', 'Aerials Won', '13')]","[('25', 'Clearances', '16')]","[('2', 'Offsides', '1')]","[('9', 'Goal Kicks', '8')]","[('17', 'Throw Ins', '28')]","[('48', 'Long Balls', '67')]"
"https://fbref.com/en/matches/1c026b53/Sao-Paulo-Santos-October-28-2017-Serie-A"">Match Report","[('12', 'Fouls', '31')]","[('7', 'Corners', '4')]","[('24', 'Crosses', '20')]","[('575', 'Touches', '620')]","[('13', 'Tackles', '17')]","[('17', 'Interceptions', '9')]","[('16', 'Aerials Won', '11')]","[('22', 'Clearances', '18')]","[('0', 'Offsides', '2')]","[('8', 'Goal Kicks', '13')]","[('9', 'Throw Ins', '21')]","[('46', 'Long Balls', '29')]","[('12', 'Fouls', '31')]","[('7', 'Corners', '4')]","[('24', 'Crosses', '20')]","[('575', 'Touches', '620')]","[('13', 'Tackles', '17')]","[('17', 'Interceptions', '9')]","[('16', 'Aerials Won', '11')]","[('22', 'Clearances', '18')]","[('0', 'Offsides', '2')]","[('8', 'Goal Kicks', '13')]","[('9', 'Throw Ins', '21')]","[('46', 'Long Balls', '29')]"
"https://fbref.com/en/matches/eebafa21/Atletico-Mineiro-Botafogo-RJ-October-29-2017-Serie-A"">Match Report","[('21', 'Fouls', '16')]","[('8', 'Corners', '3')]","[('26', 'Crosses', '22')]","[('673', 'Touches', '515')]","[('10', 'Tackles', '21')]","[('11', 'Interceptions', '16')]","[('12', 'Aerials Won', '12')]","[('29', 'Clearances', '32')]","[('2', 'Offsides', '0')]","[('8', 'Goal Kicks', '9')]","[('24', 'Throw Ins', '25')]","[('58', 'Long Balls', '63')]","[('21', 'Fouls', '16')]","[('8', 'Corners', '3')]","[('26', 'Crosses', '22')]","[('673', 'Touches', '515')]","[('10', 'Tackles', '21')]","[('11', 'Interceptions', '16')]","[('12', 'Aerials Won', '12')]","[('29', 'Clearances', '32')]","[('2', 'Offsides', '0')]","[('8', 'Goal Kicks', '9')]","[('24', 'Throw Ins', '25')]","[('58', 'Long Balls', '63')]"
"https://fbref.com/en/matches/709219ad/Vitoria-Atletico-Goianiense-October-29-2017-Serie-A"">Match Report","[('19', 'Fouls', '18')]","[('16', 'Corners', '2')]","[('49', 'Crosses', '9')]","[('711', 'Touches', '553')]","[('14', 'Tackles', '21')]","[('17', 'Interceptions', '15')]","[('20', 'Aerials Won', '18')]","[('19', 'Clearances', '35')]","[('0', 'Offsides', '1')]","[('4', 'Goal Kicks', '12')]","[('22', 'Throw Ins', '27')]","[('64', 'Long Balls', '69')]","[('19', 'Fouls', '18')]","[('16', 'Corners', '2')]","[('49', 'Crosses', '9')]","[('711', 'Touches', '553')]","[('14', 'Tackles', '21')]","[('17', 'Interceptions', '15')]","[('20', 'Aerials Won', '18')]","[('19', 'Clearances', '35')]","[('0', 'Offsides', '1')]","[('4', 'Goal Kicks', '12')]","[('22', 'Throw Ins', '27')]","[('64', 'Long Balls', '69')]"
"https://fbref.com/en/matches/cf462547/Palmeiras-Cruzeiro-October-30-2017-Serie-A"">Match Report","[('9', 'Fouls', '9')]","[('15', 'Corners', '2')]","[('47', 'Crosses', '7')]","[('852', 'Touches', '600')]","[('18', 'Tackles', '20')]","[('13', 'Interceptions', '19')]","[('16', 'Aerials Won', '16')]","[('15', 'Clearances', '54')]","[('0', 'Offsides', '4')]","[('4', 'Goal Kicks', '11')]","[('40', 'Throw Ins', '23')]","[('37', 'Long Balls', '69')]","[('9', 'Fouls', '9')]","[('15', 'Corners', '2')]","[('47', 'Crosses', '7')]","[('852', 'Touches', '600')]","[('18', 'Tackles', '20')]","[('13', 'Interceptions', '19')]","[('16', 'Aerials Won', '16')]","[('15', 'Clearances', '54')]","[('0', 'Offsides', '4')]","[('4', 'Goal Kicks', '11')]","[('40', 'Throw Ins', '23')]","[('37', 'Long Balls', '69')]"
"https://fbref.com/en/matches/735dcbdb/Atletico-Goianiense-Sao-Paulo-November-4-2017-Serie-A"">Match Report","[('17', 'Fouls', '9')]","[('2', 'Corners', '4')]","[('26', 'Crosses', '10')]","[('562', 'Touches', '794')]","[('14', 'Tackles', '17')]","[('9', 'Interceptions', '14')]","[('7', 'Aerials Won', '10')]","[('16', 'Clearances', '25')]","[('2', 'Offsides', '0')]","[('7', 'Goal Kicks', '7')]","[('19', 'Throw Ins', '17')]","[('47', 'Long Balls', '36')]","[('17', 'Fouls', '9')]","[('2', 'Corners', '4')]","[('26', 'Crosses', '10')]","[('562', 'Touches', '794')]","[('14', 'Tackles', '17')]","[('9', 'Interceptions', '14')]","[('7', 'Aerials Won', '10')]","[('16', 'Clearances', '25')]","[('2', 'Offsides', '0')]","[('7', 'Goal Kicks', '7')]","[('19', 'Throw Ins', '17')]","[('47', 'Long Balls', '36')]"
"https://fbref.com/en/matches/aa3d7f76/Corinthians-Palmeiras-November-5-2017-Serie-A"">Match Report","[('21', 'Fouls', '11')]","[('6', 'Corners', '7')]","[('16', 'Crosses', '27')]","[('454', 'Touches', '599')]","[('22', 'Tackles', '14')]","[('24', 'Interceptions', '11')]","[('30', 'Aerials Won', '18')]","[('39', 'Clearances', '21')]","[('2', 'Offsides', '1')]","[('22', 'Goal Kicks', '5')]","[('13', 'Throw Ins', '34')]","[('59', 'Long Balls', '39')]","[('21', 'Fouls', '11')]","[('6', 'Corners', '7')]","[('16', 'Crosses', '27')]","[('454', 'Touches', '599')]","[('22', 'Tackles', '14')]","[('24', 'Interceptions', '11')]","[('30', 'Aerials Won', '18')]","[('39', 'Clearances', '21')]","[('2', 'Offsides', '1')]","[('22', 'Goal Kicks', '5')]","[('13', 'Throw Ins', '34')]","[('59', 'Long Balls', '39')]"
"https://fbref.com/en/matches/b177635a/Vasco-da-Gama-Vitoria-November-5-2017-Serie-A"">Match Report","[('17', 'Fouls', '23')]","[('1', 'Corners', '3')]","[('7', 'Crosses', '28')]","[('522', 'Touches', '662')]","[('4', 'Tackles', '11')]","[('19', 'Interceptions', '11')]","[('14', 'Aerials Won', '24')]","[('44', 'Clearances', '7')]","[('1', 'Offsides', '2')]","[('8', 'Goal Kicks', '2')]","[('20', 'Throw Ins', '27')]","[('56', 'Long Balls', '66')]","[('17', 'Fouls', '23')]","[('1', 'Corners', '3')]","[('7', 'Crosses', '28')]","[('522', 'Touches', '662')]","[('4', 'Tackles', '11')]","[('19', 'Interceptions', '11')]","[('14', 'Aerials Won', '24')]","[('44', 'Clearances', '7')]","[('1', 'Offsides', '2')]","[('8', 'Goal Kicks', '2')]","[('20', 'Throw Ins', '27')]","[('56', 'Long Balls', '66')]"
"https://fbref.com/en/matches/7659ad7b/Ponte-Preta-Gremio-November-8-2017-Serie-A"">Match Report","[('19', 'Fouls', '14')]","[('9', 'Corners', '3')]","[('24', 'Crosses', '13')]","[('538', 'Touches', '700')]","[('14', 'Tackles', '24')]","[('7', 'Interceptions', '7')]","[('21', 'Aerials Won', '14')]","[('13', 'Clearances', '27')]","[('0', 'Offsides', '0')]","[('12', 'Goal Kicks', '8')]","[('19', 'Throw Ins', '10')]","[('54', 'Long Balls', '57')]","[('19', 'Fouls', '14')]","[('9', 'Corners', '3')]","[('24', 'Crosses', '13')]","[('538', 'Touches', '700')]","[('14', 'Tackles', '24')]","[('7', 'Interceptions', '7')]","[('21', 'Aerials Won', '14')]","[('13', 'Clearances', '27')]","[('0', 'Offsides', '0')]","[('12', 'Goal Kicks', '8')]","[('19', 'Throw Ins', '10')]","[('54', 'Long Balls', '57')]"
"https://fbref.com/en/matches/2cf4d124/Vitoria-Palmeiras-November-8-2017-Serie-A"">Match Report","[('20', 'Fouls', '10')]","[('3', 'Corners', '4')]","[('14', 'Crosses', '33')]","[('432', 'Touches', '837')]","[('21', 'Tackles', '16')]","[('24', 'Interceptions', '10')]","[('23', 'Aerials Won', '15')]","[('41', 'Clearances', '15')]","[('1', 'Offsides', '3')]","[('10', 'Goal Kicks', '5')]","[('16', 'Throw Ins', '25')]","[('73', 'Long Balls', '40')]","[('20', 'Fouls', '10')]","[('3', 'Corners', '4')]","[('14', 'Crosses', '33')]","[('432', 'Touches', '837')]","[('21', 'Tackles', '16')]","[('24', 'Interceptions', '10')]","[('23', 'Aerials Won', '15')]","[('41', 'Clearances', '15')]","[('1', 'Offsides', '3')]","[('10', 'Goal Kicks', '5')]","[('16', 'Throw Ins', '25')]","[('73', 'Long Balls', '40')]"
"https://fbref.com/en/matches/1ec38aef/Atletico-Mineiro-Atletico-Goianiense-November-9-2017-Serie-A"">Match Report","[('19', 'Fouls', '13')]","[('8', 'Corners', '2')]","[('26', 'Crosses', '18')]","[('680', 'Touches', '635')]","[('17', 'Tackles', '9')]","[('12', 'Interceptions', '24')]","[('16', 'Aerials Won', '13')]","[('9', 'Clearances', '19')]","[('0', 'Offsides', '3')]","[('8', 'Goal Kicks', '10')]","[('20', 'Throw Ins', '23')]","[('66', 'Long Balls', '45')]","[('19', 'Fouls', '13')]","[('8', 'Corners', '2')]","[('26', 'Crosses', '18')]","[('680', 'Touches', '635')]","[('17', 'Tackles', '9')]","[('12', 'Interceptions', '24')]","[('16', 'Aerials Won', '13')]","[('9', 'Clearances', '19')]","[('0', 'Offsides', '3')]","[('8', 'Goal Kicks', '10')]","[('20', 'Throw Ins', '23')]","[('66', 'Long Balls', '45')]"
"https://fbref.com/en/matches/a8212082/Botafogo-RJ-Atletico-Paranaense-November-11-2017-Serie-A"">Match Report","[('13', 'Fouls', '14')]","[('5', 'Corners', '2')]","[('33', 'Crosses', '8')]","[('798', 'Touches', '664')]","[('12', 'Tackles', '10')]","[('12', 'Interceptions', '10')]","[('12', 'Aerials Won', '17')]","[('8', 'Clearances', '33')]","[('1', 'Offsides', '3')]","[('4', 'Goal Kicks', '10')]","[('30', 'Throw Ins', '15')]","[('53', 'Long Balls', '72')]","[('13', 'Fouls', '14')]","[('5', 'Corners', '2')]","[('33', 'Crosses', '8')]","[('798', 'Touches', '664')]","[('12', 'Tackles', '10')]","[('12', 'Interceptions', '10')]","[('12', 'Aerials Won', '17')]","[('8', 'Clearances', '33')]","[('1', 'Offsides', '3')]","[('4', 'Goal Kicks', '10')]","[('30', 'Throw Ins', '15')]","[('53', 'Long Balls', '72')]"
"https://fbref.com/en/matches/7e8729af/Atletico-Goianiense-Sport-Recife-November-12-2017-Serie-A"">Match Report","[('20', 'Fouls', '15')]","[('2', 'Corners', '9')]","[('12', 'Crosses', '41')]","[('573', 'Touches', '758')]","[('21', 'Tackles', '15')]","[('14', 'Interceptions', '22')]","[('11', 'Aerials Won', '19')]","[('29', 'Clearances', '16')]","[('1', 'Offsides', '1')]","[('7', 'Goal Kicks', '5')]","[('27', 'Throw Ins', '31')]","[('59', 'Long Balls', '40')]","[('20', 'Fouls', '15')]","[('2', 'Corners', '9')]","[('12', 'Crosses', '41')]","[('573', 'Touches', '758')]","[('21', 'Tackles', '15')]","[('14', 'Interceptions', '22')]","[('11', 'Aerials Won', '19')]","[('29', 'Clearances', '16')]","[('1', 'Offsides', '1')]","[('7', 'Goal Kicks', '5')]","[('27', 'Throw Ins', '31')]","[('59', 'Long Balls', '40')]"
"https://fbref.com/en/matches/b025a445/Bahia-Atletico-Mineiro-November-12-2017-Serie-A"">Match Report","[('12', 'Fouls', '13')]","[('8', 'Corners', '2')]","[('31', 'Crosses', '9')]","[('653', 'Touches', '566')]","[('15', 'Tackles', '26')]","[('16', 'Interceptions', '10')]","[('10', 'Aerials Won', '10')]","[('11', 'Clearances', '31')]","[('0', 'Offsides', '1')]","[('5', 'Goal Kicks', '15')]","[('22', 'Throw Ins', '20')]","[('40', 'Long Balls', '60')]","[('12', 'Fouls', '13')]","[('8', 'Corners', '2')]","[('31', 'Crosses', '9')]","[('653', 'Touches', '566')]","[('15', 'Tackles', '26')]","[('16', 'Interceptions', '10')]","[('10', 'Aerials Won', '10')]","[('11', 'Clearances', '31')]","[('0', 'Offsides', '1')]","[('5', 'Goal Kicks', '15')]","[('22', 'Throw Ins', '20')]","[('40', 'Long Balls', '60')]"
"https://fbref.com/en/matches/0a624161/Chapecoense-Santos-November-13-2017-Serie-A"">Match Report","[('10', 'Fouls', '16')]","[('4', 'Corners', '6')]","[('16', 'Crosses', '19')]","[('552', 'Touches', '671')]","[('27', 'Tackles', '15')]","[('12', 'Interceptions', '10')]","[('18', 'Aerials Won', '14')]","[('20', 'Clearances', '14')]","[('1', 'Offsides', '3')]","[('10', 'Goal Kicks', '8')]","[('24', 'Throw Ins', '34')]","[('56', 'Long Balls', '56')]","[('10', 'Fouls', '16')]","[('4', 'Corners', '6')]","[('16', 'Crosses', '19')]","[('552', 'Touches', '671')]","[('27', 'Tackles', '15')]","[('12', 'Interceptions', '10')]","[('18', 'Aerials Won', '14')]","[('20', 'Clearances', '14')]","[('1', 'Offsides', '3')]","[('10', 'Goal Kicks', '8')]","[('24', 'Throw Ins', '34')]","[('56', 'Long Balls', '56')]"
"https://fbref.com/en/matches/ef32f7d6/Gremio-Sao-Paulo-November-15-2017-Serie-A"">Match Report","[('16', 'Fouls', '12')]","[('7', 'Corners', '3')]","[('15', 'Crosses', '17')]","[('616', 'Touches', '850')]","[('23', 'Tackles', '14')]","[('16', 'Interceptions', '15')]","[('10', 'Aerials Won', '22')]","[('31', 'Clearances', '19')]","[('3', 'Offsides', '1')]","[('5', 'Goal Kicks', '6')]","[('12', 'Throw Ins', '15')]","[('46', 'Long Balls', '39')]","[('16', 'Fouls', '12')]","[('7', 'Corners', '3')]","[('15', 'Crosses', '17')]","[('616', 'Touches', '850')]","[('23', 'Tackles', '14')]","[('16', 'Interceptions', '15')]","[('10', 'Aerials Won', '22')]","[('31', 'Clearances', '19')]","[('3', 'Offsides', '1')]","[('5', 'Goal Kicks', '6')]","[('12', 'Throw Ins', '15')]","[('46', 'Long Balls', '39')]"
"https://fbref.com/en/matches/802ba959/Chapecoense-Vitoria-November-16-2017-Serie-A"">Match Report","[('17', 'Fouls', '18')]","[('4', 'Corners', '1')]","[('15', 'Crosses', '12')]","[('529', 'Touches', '513')]","[('7', 'Tackles', '13')]","[('6', 'Interceptions', '23')]","[('25', 'Aerials Won', '27')]","[('36', 'Clearances', '28')]","[('2', 'Offsides', '1')]","[('5', 'Goal Kicks', '6')]","[('31', 'Throw Ins', '29')]","[('58', 'Long Balls', '69')]","[('17', 'Fouls', '18')]","[('4', 'Corners', '1')]","[('15', 'Crosses', '12')]","[('529', 'Touches', '513')]","[('7', 'Tackles', '13')]","[('6', 'Interceptions', '23')]","[('25', 'Aerials Won', '27')]","[('36', 'Clearances', '28')]","[('2', 'Offsides', '1')]","[('5', 'Goal Kicks', '6')]","[('31', 'Throw Ins', '29')]","[('58', 'Long Balls', '69')]"
"https://fbref.com/en/matches/2fb6035b/Bahia-Santos-November-16-2017-Serie-A"">Match Report","[('17', 'Fouls', '16')]","[('3', 'Corners', '11')]","[('16', 'Crosses', '28')]","[('550', 'Touches', '708')]","[('27', 'Tackles', '19')]","[('19', 'Interceptions', '8')]","[('4', 'Aerials Won', '9')]","[('23', 'Clearances', '20')]","[('1', 'Offsides', '1')]","[('4', 'Goal Kicks', '5')]","[('12', 'Throw Ins', '24')]","[('38', 'Long Balls', '36')]","[('17', 'Fouls', '16')]","[('3', 'Corners', '11')]","[('16', 'Crosses', '28')]","[('550', 'Touches', '708')]","[('27', 'Tackles', '19')]","[('19', 'Interceptions', '8')]","[('4', 'Aerials Won', '9')]","[('23', 'Clearances', '20')]","[('1', 'Offsides', '1')]","[('4', 'Goal Kicks', '5')]","[('12', 'Throw Ins', '24')]","[('38', 'Long Balls', '36')]"
"https://fbref.com/en/matches/67f75611/Vitoria-Cruzeiro-November-19-2017-Serie-A"">Match Report","[('20', 'Fouls', '7')]","[('3', 'Corners', '7')]","[('12', 'Crosses', '28')]","[('452', 'Touches', '771')]","[('8', 'Tackles', '20')]","[('16', 'Interceptions', '12')]","[('17', 'Aerials Won', '19')]","[('28', 'Clearances', '18')]","[('2', 'Offsides', '0')]","[('16', 'Goal Kicks', '9')]","[('17', 'Throw Ins', '12')]","[('76', 'Long Balls', '47')]","[('20', 'Fouls', '7')]","[('3', 'Corners', '7')]","[('12', 'Crosses', '28')]","[('452', 'Touches', '771')]","[('8', 'Tackles', '20')]","[('16', 'Interceptions', '12')]","[('17', 'Aerials Won', '19')]","[('28', 'Clearances', '18')]","[('2', 'Offsides', '0')]","[('16', 'Goal Kicks', '9')]","[('17', 'Throw Ins', '12')]","[('76', 'Long Balls', '47')]"
"https://fbref.com/en/matches/4c8146b1/Atletico-Goianiense-Chapecoense-November-19-2017-Serie-A"">Match Report","[('12', 'Fouls', '23')]","[('4', 'Corners', '5')]","[('31', 'Crosses', '16')]","[('719', 'Touches', '531')]","[('15', 'Tackles', '12')]","[('14', 'Interceptions', '21')]","[('18', 'Aerials Won', '22')]","[('13', 'Clearances', '27')]","[('1', 'Offsides', '2')]","[('7', 'Goal Kicks', '12')]","[('30', 'Throw Ins', '18')]","[('45', 'Long Balls', '71')]","[('12', 'Fouls', '23')]","[('4', 'Corners', '5')]","[('31', 'Crosses', '16')]","[('719', 'Touches', '531')]","[('15', 'Tackles', '12')]","[('14', 'Interceptions', '21')]","[('18', 'Aerials Won', '22')]","[('13', 'Clearances', '27')]","[('1', 'Offsides', '2')]","[('7', 'Goal Kicks', '12')]","[('30', 'Throw Ins', '18')]","[('45', 'Long Balls', '71')]"
"https://fbref.com/en/matches/2c6017eb/Santos-Gremio-November-19-2017-Serie-A"">Match Report","[('22', 'Fouls', '14')]","[('5', 'Corners', '5')]","[('16', 'Crosses', '22')]","[('571', 'Touches', '752')]","[('16', 'Tackles', '14')]","[('10', 'Interceptions', '13')]","[('15', 'Aerials Won', '12')]","[('30', 'Clearances', '15')]","[('3', 'Offsides', '2')]","[('6', 'Goal Kicks', '7')]","[('9', 'Throw Ins', '19')]","[('51', 'Long Balls', '61')]","[('22', 'Fouls', '14')]","[('5', 'Corners', '5')]","[('16', 'Crosses', '22')]","[('571', 'Touches', '752')]","[('16', 'Tackles', '14')]","[('10', 'Interceptions', '13')]","[('15', 'Aerials Won', '12')]","[('30', 'Clearances', '15')]","[('3', 'Offsides', '2')]","[('6', 'Goal Kicks', '7')]","[('9', 'Throw Ins', '19')]","[('51', 'Long Balls', '61')]"
"https://fbref.com/en/matches/02a795e7/Fluminense-Sport-Recife-November-25-2017-Serie-A"">Match Report","[('9', 'Fouls', '19')]","[('4', 'Corners', '6')]","[('16', 'Crosses', '22')]","[('655', 'Touches', '569')]","[('18', 'Tackles', '13')]","[('16', 'Interceptions', '15')]","[('9', 'Aerials Won', '19')]","[('20', 'Clearances', '11')]","[('2', 'Offsides', '0')]","[('6', 'Goal Kicks', '6')]","[('22', 'Throw Ins', '26')]","[('63', 'Long Balls', '49')]","[('9', 'Fouls', '19')]","[('4', 'Corners', '6')]","[('16', 'Crosses', '22')]","[('655', 'Touches', '569')]","[('18', 'Tackles', '13')]","[('16', 'Interceptions', '15')]","[('9', 'Aerials Won', '19')]","[('20', 'Clearances', '11')]","[('2', 'Offsides', '0')]","[('6', 'Goal Kicks', '6')]","[('22', 'Throw Ins', '26')]","[('63', 'Long Balls', '49')]"
"https://fbref.com/en/matches/bc453812/Ponte-Preta-Vitoria-November-26-2017-Serie-A"">Match Report","[('11', 'Fouls', '19')]","[('3', 'Corners', '10')]","[('17', 'Crosses', '21')]","[('388', 'Touches', '603')]","[('14', 'Tackles', '11')]","[('14', 'Interceptions', '7')]","[('19', 'Aerials Won', '27')]","[('45', 'Clearances', '14')]","[('0', 'Offsides', '3')]","[('6', 'Goal Kicks', '4')]","[('12', 'Throw Ins', '21')]","[('57', 'Long Balls', '53')]","[('11', 'Fouls', '19')]","[('3', 'Corners', '10')]","[('17', 'Crosses', '21')]","[('388', 'Touches', '603')]","[('14', 'Tackles', '11')]","[('14', 'Interceptions', '7')]","[('19', 'Aerials Won', '27')]","[('45', 'Clearances', '14')]","[('0', 'Offsides', '3')]","[('6', 'Goal Kicks', '4')]","[('12', 'Throw Ins', '21')]","[('57', 'Long Balls', '53')]"
"https://fbref.com/en/matches/e3b8c8ba/Gremio-Atletico-Goianiense-November-26-2017-Serie-A"">Match Report","[('13', 'Fouls', '16')]","[('4', 'Corners', '7')]","[('18', 'Crosses', '17')]","[('726', 'Touches', '692')]","[('21', 'Tackles', '19')]","[('27', 'Interceptions', '13')]","[('27', 'Aerials Won', '13')]","[('20', 'Clearances', '14')]","[('1', 'Offsides', '0')]","[('9', 'Goal Kicks', '6')]","[('17', 'Throw Ins', '27')]","[('65', 'Long Balls', '45')]","[('13', 'Fouls', '16')]","[('4', 'Corners', '7')]","[('18', 'Crosses', '17')]","[('726', 'Touches', '692')]","[('21', 'Tackles', '19')]","[('27', 'Interceptions', '13')]","[('27', 'Aerials Won', '13')]","[('20', 'Clearances', '14')]","[('1', 'Offsides', '0')]","[('9', 'Goal Kicks', '6')]","[('17', 'Throw Ins', '27')]","[('65', 'Long Balls', '45')]"
"https://fbref.com/en/matches/b33d1397/Palmeiras-Botafogo-RJ-November-27-2017-Serie-A"">Match Report","[('19', 'Fouls', '17')]","[('8', 'Corners', '4')]","[('20', 'Crosses', '13')]","[('717', 'Touches', '497')]","[('15', 'Tackles', '13')]","[('16', 'Interceptions', '20')]","[('26', 'Aerials Won', '16')]","[('18', 'Clearances', '24')]","[('0', 'Offsides', '1')]","[('9', 'Goal Kicks', '4')]","[('19', 'Throw Ins', '20')]","[('60', 'Long Balls', '52')]","[('19', 'Fouls', '17')]","[('8', 'Corners', '4')]","[('20', 'Crosses', '13')]","[('717', 'Touches', '497')]","[('15', 'Tackles', '13')]","[('16', 'Interceptions', '20')]","[('26', 'Aerials Won', '16')]","[('18', 'Clearances', '24')]","[('0', 'Offsides', '1')]","[('9', 'Goal Kicks', '4')]","[('19', 'Throw Ins', '20')]","[('60', 'Long Balls', '52')]"
"https://fbref.com/en/matches/b275b424/Santos-Avai-December-3-2017-Serie-A"">Match Report","[('17', 'Fouls', '11')]","[('3', 'Corners', '7')]","[('16', 'Crosses', '27')]","[('769', 'Touches', '625')]","[('18', 'Tackles', '17')]","[('16', 'Interceptions', '23')]","[('10', 'Aerials Won', '4')]","[('27', 'Clearances', '18')]","[('3', 'Offsides', '0')]","[('9', 'Goal Kicks', '16')]","[('19', 'Throw Ins', '12')]","[('42', 'Long Balls', '46')]","[('17', 'Fouls', '11')]","[('3', 'Corners', '7')]","[('16', 'Crosses', '27')]","[('769', 'Touches', '625')]","[('18', 'Tackles', '17')]","[('16', 'Interceptions', '23')]","[('10', 'Aerials Won', '4')]","[('27', 'Clearances', '18')]","[('3', 'Offsides', '0')]","[('9', 'Goal Kicks', '16')]","[('19', 'Throw Ins', '12')]","[('42', 'Long Balls', '46')]"
"https://fbref.com/en/matches/e25bb77d/Atletico-Mineiro-Gremio-December-3-2017-Serie-A"">Match Report","[('17', 'Fouls', '20')]","[('7', 'Corners', '2')]","[('26', 'Crosses', '7')]","[('693', 'Touches', '488')]","[('17', 'Tackles', '11')]","[('12', 'Interceptions', '28')]","[('18', 'Aerials Won', '16')]","[('6', 'Clearances', '34')]","[('4', 'Offsides', '1')]","[('5', 'Goal Kicks', '13')]","[('28', 'Throw Ins', '17')]","[('49', 'Long Balls', '69')]","[('17', 'Fouls', '20')]","[('7', 'Corners', '2')]","[('26', 'Crosses', '7')]","[('693', 'Touches', '488')]","[('17', 'Tackles', '11')]","[('12', 'Interceptions', '28')]","[('18', 'Aerials Won', '16')]","[('6', 'Clearances', '34')]","[('4', 'Offsides', '1')]","[('5', 'Goal Kicks', '13')]","[('28', 'Throw Ins', '17')]","[('49', 'Long Balls', '69')]"
